,STATION CODE,Potability
732,3383.0,0
733,3384.0,0
734,3380.0,0
735,1632.0,1
736,1428.0,0
737,3369.0,1
738,3370.0,1
739,3371.0,0
740,3375.0,0
741,3376.0,0
742,3381.0,0
743,3382.0,0
744,3377.0,0
745,3378.0,0
746,1631.0,1
747,3379.0,0
748,3367.0,0
749,3368.0,1
750,3372.0,1
751,1633.0,1
752,3353.0,0
753,3354.0,0
754,3355.0,1
755,3356.0,0
756,3350.0,1
757,3351.0,1
758,3352.0,0
759,3359.0,0
760,3360.0,0
761,3361.0,0
762,3362.0,0
763,3357.0,0
764,3358.0,0
765,3363.0,0
766,3364.0,0
767,3365.0,0
768,1427.0,0
769,3366.0,0
770,3373.0,1
771,3374.0,1
773,2051.0,0
776,1403.0,0
777,1404.0,0
778,1726.0,0
780,1150.0,0
781,1246.0,0
783,1434.0,0
785,1149.0,0
787,1860.0,1
789,1148.0,0
792,1862.0,0
795,1399.0,0
796,1475.0,1
797,3181.0,0
798,3182.0,1
799,1400.0,0
800,1476.0,1
801,3185.0,0
802,3186.0,0
803,3187.0,0
804,1543.0,1
805,1548.0,0
806,2276.0,0
807,2275.0,1
808,3189.0,0
809,1546.0,1
810,2270.0,1
811,2272.0,1
812,1545.0,1
813,2274.0,0
814,2271.0,0
815,2273.0,1
816,3183.0,0
817,3184.0,1
818,3190.0,0
819,3191.0,0
820,1547.0,1
821,3188.0,1
822,1544.0,0
823,2651.0,0
824,1461.0,0
825,2653.0,0
826,2654.0,0
827,1092.0,0
828,2670.0,0
829,1152.0,0
830,2198.0,0
831,2671.0,0
832,2672.0,0
833,2168.0,0
834,2676.0,0
835,1151.0,0
836,1462.0,0
837,2685.0,0
838,2686.0,0
839,2687.0,0
840,2688.0,0
841,2689.0,0
842,2199.0,0
843,2701.0,0
844,2702.0,0
845,2703.0,0
846,2704.0,0
847,2706.0,0
848,2707.0,0
849,2708.0,0
850,2709.0,0
851,1094.0,0
852,2162.0,0
853,2712.0,0
854,2164.0,0
855,2713.0,0
856,2714.0,0
857,1342.0,1
858,1443.0,1
859,3465.0,1
860,3466.0,1
861,2297.0,0
862,2319.0,0
863,2286.0,1
864,2331.0,0
865,2332.0,0
866,1154.0,1
867,20.0,1
868,21.0,1
869,3464.0,1
870,1572.0,0
871,1573.0,0
872,2295.0,1
873,1564.0,1
874,2287.0,0
875,1566.0,1
876,2293.0,1
877,2337.0,0
878,2338.0,0
879,42.0,1
880,2294.0,0
881,3460.0,1
882,3458.0,0
883,1571.0,0
884,1155.0,0
885,3471.0,0
886,2289.0,0
887,2301.0,1
888,2291.0,1
889,2326.0,1
890,1569.0,0
891,2298.0,0
892,1567.0,0
893,1568.0,1
894,2285.0,1
895,1340.0,1
896,1384.0,1
897,3459.0,0
898,2307.0,0
899,1339.0,1
900,2304.0,0
901,43.0,1
902,2302.0,0
903,1570.0,0
904,1563.0,1
905,2284.0,1
906,2288.0,1
907,1156.0,0
908,1341.0,1
909,1565.0,1
910,17.0,1
911,18.0,1
912,1338.0,1
913,2333.0,1
914,2334.0,1
915,2335.0,1
916,2336.0,1
917,3468.0,1
918,2300.0,1
919,2303.0,1
920,2290.0,1
921,2299.0,0
922,2305.0,0
923,2296.0,0
924,2292.0,1
925,2306.0,0
926,3473.0,0
927,1442.0,1
928,1448.0,0
929,2352.0,0
930,3080.0,1
931,3081.0,1
932,1444.0,0
933,2780.0,1
934,1894.0,0
935,1892.0,0
936,2423.0,0
937,2424.0,0
938,2425.0,0
939,2422.0,0
940,1642.0,0
941,1643.0,1
942,1455.0,0
943,1456.0,0
944,2426.0,0
945,2427.0,0
951,1450.0,0
952,1159.0,0
953,1160.0,0
954,1161.0,0
955,1162.0,0
956,1328.0,0
957,1329.0,0
958,1330.0,0
959,3025.0,0
960,3026.0,0
961,3027.0,0
962,3028.0,0
963,3029.0,0
964,3023.0,0
965,1023.0,0
966,1024.0,0
967,1295.0,0
968,1473.0,0
969,1698.0,0
970,1699.0,0
971,1700.0,0
972,1701.0,0
973,1702.0,0
974,1703.0,0
975,1704.0,0
976,1705.0,0
981,1718.0,1
982,1871.0,1
983,2624.0,1
984,2625.0,1
985,1870.0,0
986,2947.0,1
987,1717.0,0
988,2948.0,0
989,1719.0,0
990,2949.0,0
991,3305.0,0
992,3383.0,0
993,3384.0,0
994,3380.0,0
995,1632.0,0
996,1428.0,0
997,3369.0,1
998,3370.0,1
999,3371.0,1
1000,3372.0,1
1001,3373.0,1
1002,3374.0,0
1003,3375.0,0
1004,3376.0,0
1005,3381.0,1
1006,3382.0,0
1007,3377.0,1
1008,3378.0,1
1009,1631.0,1
1010,3379.0,0
1011,3367.0,0
1012,3368.0,1
1013,1633.0,0
1014,3353.0,0
1015,3354.0,0
1016,3355.0,1
1017,3356.0,0
1018,3350.0,1
1019,3351.0,0
1020,3352.0,1
1021,3359.0,0
1022,3360.0,0
1023,3361.0,0
1024,3362.0,0
1025,3357.0,0
1026,3358.0,0
1027,3363.0,0
1028,3364.0,0
1029,3365.0,0
1030,1427.0,0
1031,3366.0,0
1036,1403.0,0
1037,1404.0,0
1038,1726.0,0
1039,1393.0,0
1040,1150.0,1
1041,1865.0,0
1042,1434.0,0
1043,1980.0,0
1044,1149.0,0
1045,1399.0,0
1046,1475.0,1
1047,3181.0,0
1048,3182.0,1
1049,1400.0,0
1050,1476.0,0
1051,3185.0,1
1052,3186.0,1
1053,3187.0,0
1054,1543.0,1
1055,1548.0,1
1056,2276.0,0
1057,2275.0,1
1058,3189.0,1
1059,1546.0,1
1060,2270.0,1
1061,2272.0,1
1062,1545.0,1
1063,2274.0,0
1064,2271.0,1
1065,2273.0,1
1066,3183.0,0
1067,3184.0,1
1068,3190.0,1
1069,3191.0,1
1070,1547.0,1
1071,3188.0,1
1072,1544.0,0
1073,2651.0,0
1074,1461.0,0
1075,2653.0,0
1076,2654.0,0
1077,1092.0,0
1078,2670.0,0
1079,1152.0,0
1080,2198.0,0
1081,2671.0,0
1082,2672.0,0
1083,2168.0,0
1084,2676.0,0
1085,1151.0,0
1086,1462.0,0
1087,2685.0,0
1088,2686.0,0
1089,2687.0,0
1090,2688.0,0
1091,2689.0,0
1092,2696.0,0
1093,2199.0,0
1094,2701.0,0
1095,2702.0,0
1096,2703.0,0
1097,2704.0,0
1098,2706.0,0
1099,2707.0,0
1100,2708.0,0
1101,2709.0,0
1102,1093.0,0
1103,1094.0,0
1104,2162.0,0
1105,2712.0,0
1106,2164.0,0
1107,2713.0,0
1108,2714.0,0
1109,1342.0,1
1110,1443.0,1
1111,3465.0,1
1112,3466.0,1
1113,2297.0,1
1114,2319.0,1
1115,2286.0,1
1116,2331.0,1
1117,2332.0,1
1118,1154.0,1
1119,20.0,1
1120,21.0,1
1121,3464.0,1
1122,1572.0,0
1123,1573.0,0
1124,2295.0,1
1125,1564.0,1
1126,2287.0,1
1127,1566.0,1
1128,2293.0,1
1129,2337.0,0
1130,2338.0,0
1131,42.0,1
1132,2294.0,0
1133,3460.0,1
1134,3458.0,0
1135,1571.0,0
1136,1155.0,0
1137,3471.0,1
1138,2289.0,0
1139,2301.0,0
1140,2291.0,0
1141,2326.0,1
1142,1569.0,1
1143,2298.0,1
1144,1567.0,0
1145,1568.0,1
1146,2285.0,1
1147,1340.0,1
1148,1384.0,1
1149,3459.0,0
1150,2307.0,0
1151,1339.0,1
1152,2304.0,0
1153,43.0,1
1154,2302.0,0
1155,1570.0,0
1156,1563.0,1
1157,2284.0,1
1158,2288.0,1
1159,1156.0,0
1160,1341.0,1
1161,1565.0,1
1162,17.0,1
1163,18.0,1
1164,1338.0,1
1165,2333.0,1
1166,2334.0,1
1167,2335.0,1
1168,2336.0,1
1169,3468.0,1
1170,2300.0,1
1171,2303.0,1
1172,2290.0,1
1173,2299.0,1
1174,2305.0,0
1175,2296.0,0
1176,2292.0,1
1177,2306.0,0
1178,3473.0,1
1179,1442.0,1
1180,1448.0,0
1181,2352.0,0
1182,3080.0,1
1183,3081.0,1
1184,1444.0,0
1185,2780.0,1
1186,1894.0,0
1187,1892.0,0
1188,2423.0,0
1189,2424.0,0
1190,2425.0,0
1191,2422.0,1
1192,1642.0,0
1193,1643.0,0
1194,1455.0,1
1195,1456.0,1
1196,2426.0,1
1197,2427.0,1
1198,1685.0,0
1199,2444.0,0
1200,2442.0,0
1201,2443.0,0
1202,2445.0,0
1203,1450.0,1
1204,1159.0,0
1205,1160.0,0
1206,1161.0,0
1207,1162.0,0
1208,1328.0,0
1209,1329.0,0
1210,1330.0,0
1211,3025.0,0
1212,3026.0,0
1213,3027.0,0
1214,3028.0,0
1215,3029.0,0
1216,3023.0,0
1217,1885.0,0
1218,1023.0,0
1219,1024.0,0
1220,1295.0,0
1221,1473.0,0
1222,1698.0,0
1223,1699.0,0
1224,1700.0,0
1225,1701.0,0
1226,1702.0,0
1227,1703.0,0
1228,1704.0,0
1229,1705.0,0
1230,1025.0,0
1231,1026.0,0
1232,1887.0,0
1233,1718.0,1
1234,1871.0,1
1235,2624.0,1
1236,2625.0,1
1237,1884.0,0
1238,1870.0,0
1239,2947.0,1
1240,1717.0,0
1241,2948.0,1
1242,2949.0,0
1243,3305.0,0
1284,3383.0,0
1285,3384.0,0
1286,3380.0,0
1287,1632.0,0
1288,1428.0,0
1289,3369.0,1
1290,3370.0,1
1291,3371.0,1
1292,3375.0,0
1293,3376.0,1
1294,3381.0,1
1295,3382.0,0
1296,3377.0,1
1297,3378.0,1
1298,1631.0,1
1299,3379.0,1
1300,3367.0,1
1301,3368.0,1
1302,3372.0,1
1303,1633.0,0
1304,3353.0,1
1305,3354.0,1
1306,3355.0,1
1307,3356.0,1
1308,3350.0,1
1309,3351.0,1
1310,3352.0,1
1311,3359.0,0
1312,3360.0,0
1313,3361.0,0
1314,3362.0,0
1315,3357.0,1
1316,3358.0,1
1317,3363.0,1
1318,3364.0,0
1319,3365.0,0
1320,1427.0,0
1321,3366.0,0
1322,3373.0,1
1323,3374.0,1
1324,2050.0,0
1325,2051.0,0
1326,2052.0,1
1327,2053.0,1
1328,1403.0,0
1329,1404.0,0
1330,1726.0,0
1333,2460.0,0
1340,1150.0,1
1341,1246.0,0
1342,1860.0,1
1343,1861.0,0
1344,1862.0,0
1345,1865.0,0
1346,1148.0,0
1347,1435.0,0
1348,1149.0,0
1349,1438.0,0
1351,1399.0,1
1352,1475.0,0
1353,1400.0,1
1354,1476.0,0
1355,1543.0,1
1356,1548.0,0
1357,2276.0,1
1358,2275.0,1
1359,1546.0,0
1360,2270.0,1
1361,2272.0,1
1362,1545.0,0
1363,2274.0,0
1364,2271.0,1
1365,2273.0,1
1366,1547.0,1
1367,1544.0,0
1368,2651.0,0
1370,2653.0,0
1371,2654.0,0
1372,1092.0,0
1373,2670.0,0
1374,1152.0,0
1375,2198.0,0
1376,2671.0,0
1377,2672.0,0
1378,2168.0,0
1379,2676.0,0
1380,1151.0,0
1381,1462.0,0
1382,2685.0,0
1383,2686.0,0
1384,2687.0,0
1385,2688.0,0
1386,2689.0,0
1387,2696.0,0
1388,2199.0,0
1389,2701.0,0
1390,2702.0,0
1391,2703.0,0
1392,2704.0,0
1393,2706.0,0
1394,2707.0,0
1395,2708.0,0
1396,2709.0,0
1397,1093.0,0
1398,1094.0,0
1399,2162.0,0
1400,2712.0,0
1401,2164.0,0
1402,2713.0,0
1403,2714.0,0
1404,1342.0,1
1405,1443.0,0
1406,2297.0,1
1407,2319.0,1
1408,2286.0,1
1409,2331.0,1
1410,2332.0,1
1411,1154.0,1
1412,20.0,1
1413,21.0,1
1414,1572.0,1
1415,1573.0,0
1416,2295.0,1
1417,1564.0,1
1418,2287.0,1
1419,1566.0,0
1420,2293.0,1
1421,2337.0,0
1422,2338.0,0
1423,42.0,1
1424,2294.0,1
1425,1571.0,1
1426,1155.0,0
1427,2289.0,1
1428,2301.0,0
1429,2291.0,1
1430,2326.0,1
1431,1569.0,1
1432,2298.0,0
1433,1567.0,0
1434,1568.0,0
1435,2285.0,1
1436,1340.0,1
1437,1384.0,1
1438,2307.0,1
1439,1339.0,1
1440,2304.0,1
1441,43.0,1
1442,2302.0,0
1443,1570.0,1
1444,1563.0,1
1445,2284.0,1
1446,2288.0,1
1447,1156.0,1
1448,1341.0,1
1449,1565.0,1
1450,17.0,1
1451,18.0,1
1452,1338.0,1
1453,2333.0,1
1454,2334.0,1
1455,2335.0,1
1456,2336.0,1
1457,2300.0,0
1458,2303.0,1
1459,2290.0,1
1460,2299.0,1
1461,2305.0,1
1462,2296.0,1
1463,2292.0,1
1464,2306.0,1
1465,1442.0,1
1466,1448.0,1
1467,2352.0,0
1468,1444.0,0
1469,2780.0,1
1470,1894.0,0
1471,1892.0,0
1472,2423.0,0
1473,2424.0,0
1474,2425.0,1
1475,2422.0,1
1476,1642.0,0
1477,1643.0,0
1478,1455.0,1
1479,1456.0,1
1480,2426.0,1
1481,2427.0,1
1487,1450.0,1
1490,1023.0,0
1491,1024.0,0
1492,1295.0,0
1493,1473.0,0
1494,1698.0,0
1495,1699.0,0
1496,1700.0,0
1497,1701.0,0
1498,1702.0,0
1499,1703.0,0
1500,1704.0,0
1501,1705.0,0
1505,1718.0,0
1506,1719.0,0
1507,1871.0,1
1508,2624.0,1
1510,2625.0,1
1511,1870.0,0
1512,2948.0,0
1550,1632.0,0
1551,1428.0,0
1552,1631.0,1
1553,1633.0,0
1554,1427.0,0
1555,2050.0,1
1556,2051.0,1
1557,2052.0,1
1558,2053.0,1
1560,1404.0,0
1561,1726.0,0
1562,2459.0,0
1570,1860.0,0
1571,1861.0,0
1572,1862.0,0
1573,1865.0,0
1574,1148.0,0
1576,1438.0,0
1742,1633.0,0
1748,1404.0,0
1749,1726.0,0
