station_code,areas,region
388,"RIVER TALPONaN AT CANaNCONaN, GOA",GOA
389,RIVER TIRACOL AT TIRACOL,GOA
390,"RIVER VALVANT AT SANKLI - BICHOLIM, GOA",GOA
393,"MANJRA RIVER AT D/S OF LATUR, NEAR LATUR- NaNDED BRIDGE AT BHATKHEDA, LATUR.",MAHARASHTRA
394,RIVER MANJEERA AT GOWDICHARLA B/C WITH NaNKKAVAGU,ANDHRA PRADESH
395,RIVER MANJEERA AT GOWDICHARLA A/C WITH NaNKKAVAGU,ANDHRA PRADESH
396,"MANJEERA RIVER - NEAR GANaNPATHI SUGARS , MEDAK DIST., A.P",ANDHRA PRADESH
397,"MANJERA AT RAIPALLU, A.P.",ANDHRA PRADESH
398,MANJRA AT D/S IN INTAKE POINT TO BIDAR CITY,KARNaNTAKA
401,"WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA
402,"WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA
403,"WARDHA RIVER AT U/S OF ACC GHUGGUS, CHANDRAPUR.",MAHARASHTRA
404,WARDHA RIVER D/S OF ACC GHUGGUS.,MAHARASHTRA
405,WARDHA RIVER AT CONFLUENCE POINT OF PENGANGA & WARDHA AT JUAD.,MAHARASHTRA
406,"WARDHA AT RAJURA BRIDGE, MAHARASHTRA",MAHARASHTRA
407,"WAINGANGA AT BALAGHAT, M.P.",MADHYA PRADESH
408,"WAINGANGA AT CHINDWARA, M.P.",MADHYA PRADESH
409,"WAINGANGA AT CHHAPARA, NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH
410,WAINGANGA AFTER CONLUENCE WITH KANHAN,MAHARASHTRA
411,WAINGANGA RIVER U/S OF ELLORA PAPER MILL.,MAHARASHTRA
412,WAINGANGA RIVER D/S OF ELLORA PAPER MILL.,MAHARASHTRA
413,"WAINGANGA U/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",MAHARASHTRA
414,"WAINGANGA D/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",MAHARASHTRA
415,"WAINGANGA AT ASHTI, MAHARASHTRA",MAHARASHTRA
416,KOLAR BEFORE CONFLUENCE TO KANHAN AT KAMPTEE,MAHARASHTRA
417,"KANHAN AT CHINDWARA BEFORE MIXING BOREGAON GROWTH CENTRE NaNLLA, JABALPUR",MADHYA PRADESH
418,KANHAN D/S OF NaNGPUR,MAHARASHTRA
419,"KANHAN RIVER U/S OF M/S VIDHARBHA PAPER MILL, SINORA.",MAHARASHTRA
420,"KANHAN RIVER D/S OF M/S VIDHARBHA PAPER MILL, SINORA.",MAHARASHTRA
421,PURNaN AT DHUPESHWAR,MAHARASHTRA
422,"PURNaN RIVER NEAR ACHALPUR-AMRAVATI ROAD BRIDGE, ASEGAON, CHANDUR BAZAR, AMRAVATI",MAHARASHTRA
423,"NIRA AT PULGAON COTTON MILL, WARDHA, MAHARASHTRA",MAHARASHTRA
424,"KINNERASANI A/C OF KTPS ASH POND EFFLUENTS, KHAMMAM",ANDHRA PRADESH
426,"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED",MAHARASHTRA
427,"DARNaN RIVER AT CHEHEDI PUMPING STATION, NaNSHIK.",MAHARASHTRA
428,"DARNaN RIVER AT ASWALI ( DARNaN DAM), IGATPURI, NaNSHIK",MAHARASHTRA
429,"DARNaN RIVER AT MES SITE PUMPING STATION, BHAGUR, NaNSHIK.",MAHARASHTRA
430,"DARNaN RIVER AT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NaNSHIK.",MAHARASHTRA
431,"DARNaN RIVER AT SANSARI, NaNSHIK.",MAHARASHTRA
432,"PENGANGA RIVER NEAR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",MAHARASHTRA
433,"PENGANGA RIVER D/S OF ISAPUR DAM, ISAPUR, PUSAD, YAVATMAL",MAHARASHTRA
434,"PENGANGA RIVER AT MEHKAR-BULDANaN ROAD BRIDGE, MEHKAR, BULDANaN",MAHARASHTRA
435,"WENaN RIVER��AT U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE, HINGANGHAT",MAHARASHTRA
436,"WENaN RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER ROAD",MAHARASHTRA
437,"GHATPRABHA AT D/S OF MUDHOL RD. CROSS BDG., KARNaNTAKA",KARNaNTAKA
438,"GHATPRABHA AT W.A. POINT TO GOKAK TOWN,KARNaNTAKA",KARNaNTAKA
439,"MALPRABHA AT D/S OF KHANaNPUR VILLAGE,KARNaNTAKA",KARNaNTAKA
440,"MALPRABHA AT WATER ABSTR. PT. TO HUBLI,DHARWAR,KARNaNTAKA",KARNaNTAKA
441,"MALPRABHA AT D/S OF AIHOLE TOWN, KARNaNTAKA",KARNaNTAKA
442,"MALPRABHA AT BADAMI BRIDGE, KARNaNTAKA",KARNaNTAKA
443,"TUNGHABHADRA AT HONNaNLI BRIDGE, KARNaNTAKA",KARNaNTAKA
444,"TUNGHABHADRA AT HARALAHALLI BRIDGE, KARNaNTAKA",KARNaNTAKA
445,"TUNGHABHADRA AT ULLANUR, KARNaNTAKA",KARNaNTAKA
446,"TUNGABHADRA AT D/S OF HPF, KARNaNTAKA",KARNaNTAKA
447,"TUNGABHADRA AT JACKWELL POINT, KARNaNTAKA",KARNaNTAKA
448,"TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE, KARNaNTAKA",KARNaNTAKA
449,"TUNGABHADRA AT D/S OF GANGAWATHI, KARNaNTAKA",KARNaNTAKA
450,"TUNGABHADRA AT NEW BRIDGE, KARNaNTAKA",KARNaNTAKA
451,"TUNGABHADRA AT U/S OF HPF, KARNaNTAKA",KARNaNTAKA
452,"TUNGHABHADRA AT KURNOOL U/S, BAVAPURAM, A.P.",ANDHRA PRADESH
453,"TUNGHABHADRA AT MANTHRALAYAM , KURNOOL DIST., A.P",ANDHRA PRADESH
454,"TUNGHA AT D/S OF SHIMOGA TOWN, KARNaNTAKA",KARNaNTAKA
455,CONFLUENCE POINT OF TUNGA AND BHADRA AT KUDLI,KARNaNTAKA
456,BHADRA AT MALLESWARAM D/S OF KIOCL KARNaNTAKA,KARNaNTAKA
457,"BHADRA AT D/S OF BHADRAVATHI, KARNaNTAKA",KARNaNTAKA
458,"BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR HOLEHUNNUR,KARNaNTAKA",KARNaNTAKA
459,"BHADRA AT U/S OF MPM, KARNaNTAKA",KARNaNTAKA
460,"BHADRA AT U/S OF KIOCL, KARNaNTAKA",KARNaNTAKA
464,"RIVER MUSI RESERVOIR AT KASANIGUDA,��NaNLGONDA, A.P.",ANDHRA PRADESH
465,"PALLERU BEFORE CONFL. WITH KRISHNaN, JAGGAYYAPET, A.P.",ANDHRA PRADESH
466,"MUNERU BEFORE CONFL. WITH KRISHNaN, NaNDIGAMA, A.P.",ANDHRA PRADESH
467,KAGINaN D/S OF SEWAGE DISPOSAL POINT,KARNaNTAKA
468,"KAGINaN AT SHAHABAD BRIDGE, KARNaNTAKA",KARNaNTAKA
469,"RIVER NaNKKAVAGU, BACHUGUDEM,MEDAK",ANDHRA PRADESH
470,"RIVER KUNDU, NaNDYAL, NEAR OVER BDG., KURNOOL",ANDHRA PRADESH
471,"ASANGI NaNLLA AT ASANGI VILLAGE, KARNaNTAKA",KARNaNTAKA
472,"SALAULIM LAKE AT SALAULIM - SANGUEM, GOA",GOA
473,"MAYEM LAKE, BICHOLIM",GOA
474,ANJUNEM LAKE,GOA
475,RUMDER LAKE,GOA
476,CARAMBOLIM LAKE,GOA
477,RAIA LAKE,GOA
478,SAIPEM LAKE,GOA
479,CURTORIM LAKE,GOA
481,AHMEDABAD,GUJARAT
482,AHMEDABAD,GUJARAT
483,"AJWAH LAKE AT SARI SAYAJI SABVAR, BARODA",GUJARAT
484,"SURSAGAR LAKE AT BARODA, GUJARAT",GUJARAT
489,LAKHOTA TALAV,GUJARAT
490,NaNRSINHMEHTA TALAV,GUJARAT
499,"OLPAD, VILLAGE POND OLPAD, SURAT",GUJARAT
500,THOL TANK (KALOL) (DIST MEHSANaN),GUJARAT
501,"UPPER LAKE AT BHOPAL (INTAKE POINT), M.P.",MADHYA PRADESH
502,LOWER LAKE AT BHOPAL OUTLET M.P.,MADHYA PRADESH
503,MULTAI TANK LAKE AT VILLA. KHARI ON BETUL-AMRAVATI ROAD M.P.,MADHYA PRADESH
504,KHANDARI RESERVOIR WATER OFF TAKE POINT,MADHYA PRADESH
505,PERIAT TANK JABALPUR,MADHYA PRADESH
506,GOVINDGARH TANK,MADHYA PRADESH
507,"SHAHPURA LAKE AT WEIR NEAR AYUSHMAN HOSPITAL, BHOPAL",MADHYA PRADESH
508,UPPER LAKE AT YATCH CLUB,MADHYA PRADESH
509,UPPER LAKE AT KARBALA CLUB,MADHYA PRADESH
510,UPPER LAKE AT BAIRAGARH CLUB,MADHYA PRADESH
511,"KERWA DAM NEAR REST HOUSE, BPL",MADHYA PRADESH
512,JANUNIA TALAB NEAR W/S,MADHYA PRADESH
513,HANUMANTAL JABALPUR,MADHYA PRADESH
514,"RANITAL TALAB, JABALPUR",MADHYA PRADESH
515,MOTI TALAB AT BALAGHAT,MADHYA PRADESH
519,"PICHOLA LAKE AT UDAIPUR (WATER INTAKE POINT), RAJASTHAN",RAJASTHAN
520,UDAISAGAR LAKE AT UDAIPUR (INTAKE PT.) RAJASTHAN,RAJASTHAN
521,"PUSHKAR LAKE, RAJASTHAN",RAJASTHAN
522,"FATEH SAGAR LAKE AT UDAIPUR INTAKE POINT OF PHED,RAJASTHAN",RAJASTHAN
523,"KAYALANaN JHEEL JODHPUR, RAJASTHAN",RAJASTHAN
524,"NaNKKI LAKE, MT. ABU, RAJASTHAN",RAJASTHAN
525,"LAKE JET SAGAR, BUNDI, RAJASTHAN",RAJASTHAN
526,"JAISAMAND LAKE, ALWAR, RAJASTHAN",RAJASTHAN
527,"LAKE SILISERH, ALWAR, RAJASTHAN",RAJASTHAN
528,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 1, RAJSAMAND, RAJASTHAN",RAJASTHAN
529,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 2, RAJSAMAND, RAJASTHAN",RAJASTHAN
530,"GAPE- SAGAR LAKE, DUNGARPUR, RAJASTHAN",RAJASTHAN
531,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 1, RAJASTHAN",RAJASTHAN
532,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 2, RAJASTHAN",RAJASTHAN
533,"LODHA TALAB, BANSWARA- DUNGARPUR ROAD, BANSWARA, RAJASTHAN",RAJASTHAN
534,"JALMAHAL, JAIPUR, RAJASTHAN",RAJASTHAN
600,"ACHENKOIL AT THUMPAMON, KERALA",KERALA
601,"ACHENKOIL AT CHENNITHULA, KERALA",KERALA
602,"ACHENKOIL AT KALLARAKADAVU, PATHANaNMTHITTA",KERALA
603,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANaNMTHITTA",KERALA
604,R ANCHARAKANDY AT MERUVAMBA,KERALA
605,R ANCHARAKANDY AT MERUVAMBA,KERALA
606,R AYROOR AT AYROOR BRIDGE,KERALA
607,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA
608,R BHARATHAPUZHA AT PATTAMBI,KERALA
609,"CHALAKUDY AT PULICKALKANaNDAVU, KERALA",KERALA
610,"CHALIYAR AT KOOLIMADU, KERALA",KERALA
611,"CHALIYAR AT CHUNGAPALLY, KERALA",KERALA
612,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA
613,"CHANDRAGIRI AT PADIYATHADKA, KERALA",KERALA
614,"CHITRAPUZHA AT IRUMPANaNM, KERALA",KERALA
615,R CORAPUZHA AT KANaNYANKODE,KERALA
616,"R ITHIKKARA AT AYUR, KERALA",KERALA
617,R ITHIKKARA AT ITHIKKARA,KERALA
618,"R KADALUNDI AT THIRURANGADY, KERALA",KERALA
619,R KADALUNDI AT HAJIRAPPALLY,KERALA
620,R KADAMBAYAR AT BRAHMAPURAM,KERALA
621,R KADAMBAYAR AT MANCKAKADAVU,KERALA
622,"KALLADA AT PERUMTHOTTAMKADAVU, PUNaNLOOR, KERALA",KERALA
623,R KALLAI AT KALLAI BRIDGE,KERALA
624,"KALPATHI PUZHA AT KALPATHI, PALAKKAD",KERALA
625,KARAPUZHA DAM AT WAYANaND,KERALA
626,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA
627,"KARAMANaN AT MOONNaNTTUMUKKU, KERALA",KERALA
628,"RIVER KARAMANaN AT ARUVIKARA, THIRUVANaNTHAPURAM",KERALA
629,R KARUVANNURR AT KARUVANNUR BRIDGE,KERALA
630,R KAVVAI AT KUTTIYOL PALAM,KERALA
631,R KEECHERI AT VADAKKANCHERY BRIDGE,KERALA
632,R KORAYAR AT KANJIKODE,KERALA
633,"R KUPPAM AT THALIPARAMBA, KERALA",KERALA
634,R KUPPAM AT RAYAROM,KERALA
635,"R KUTTIYADE AT KUTTIYADY ESTATE, KERALA",KERALA
636,"R MAHE AT VALAYAM, KERALA",KERALA
637,R MAMOM AT MAMOM BRIDGE,KERALA
638,"MANIMALA  AT KALLOOPARA, KERALA",KERALA
639,"MANIMALA AT THONDRA, KERALA",KERALA
640,"MANIYANKODE PUZHA AT MANIYANKODE BRIDGE, WAYANaND",KERALA
641,R MANJESWAR AT BAJRAKKARA BR.,KERALA
642,"MEENaNCHIL AT KIDANGOOR, KERALA",KERALA
643,R MOGRAL AT MOGRAL BR.,KERALA
644,"MUVATTAPUZHA AT VETTIKKATTUMUKKU, KERALA",KERALA
645,R NEELASWARAM AT NaNMBIARKAL DAM,KERALA
646,"R NEELESWARAM AT HOSDURG, KERALA",KERALA
647,"R NEYYAR AT AMARAVILA, KERALA",KERALA
648,R NEYYAR AT ARUVIPURAM,KERALA
649,R PALLICKAL AT NELLIMUKAL,KERALA
650,"PAMBA AT CHENGANNUR, KERALA",KERALA
651,"PAMBA AT THAKAZHY, KERALA",KERALA
652,"PAMBA DOWN, KERALA",KERALA
653,"PERIYAR NEAR ALWAYENaNELOOR, KERALA",KERALA
654,"PERIYAR AT KALADY, KERALA",KERALA
655,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA
656,RIVER PERIYAR AT MUPPATHADAM,KERALA
657,RIVER PERIYAR AT PATHALAM,KERALA
658,R PERIYAR AT KALAMASSERY,KERALA
659,R PERIYAR AT PURAPPALLIKAVU,KERALA
660,"PERIYAR AT KWA INTAKENaN ALUVA, ERNaNKULAM",KERALA
661,R PERUVAMBA AT CHANDAPPURA,KERALA
662,R PULLUR AT PULLUR BR.,KERALA
663,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA
664,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA
665,R SHRIYA AT ANGADIMOGARU,KERALA
666,R THALLASSERY AT PATHIPPALAM,KERALA
667,R THIRUR AT THALAKKADATHUR BRIDGE,KERALA
668,R UPPALA AT  UPPALA BR.,KERALA
669,"RIVER VALAPATTANaNM AT PARASSINIKADAVU, KANNUR",KERALA
670,"VAMANaNPURAM, KERALA",KERALA
671,"NaNGAVALLI AT THOTAPALLI REGULATOR, A.P.",ANDHRA PRADESH
672,"RIVER VAMSHADHARA, KALINGAPATNaNM,VIZIANaNGARAM",ANDHRA PRADESH
673,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH
674,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM, A.P.",ANDHRA PRADESH
675,"KALI AT D/S WEST COAST PAPER MILL, KARNaNTAKA",KARNaNTAKA
676,"KALI AT U/S OF WCPM, DANDELI, KARNaNTAKA",KARNaNTAKA
677,KUMARADHARA NaN U/S OF UPPINaNGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNaNTAKA
678,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNaNTAKA
679,"BUDHABALANGA, D/S OF BARIPADA TOWN",ODISHA
680,BUDHABALANGA AT BALASORE D/S,ODISHA
681,"RIVER KERANDI(INTAKE WELL OF NaNLCO REFINaNRY, HAL, SUNaNBEDA)",ODISHA
682,"NaNGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ODISHA
683,"NaNGAVALLI AT JAYKAYPUR D/S, ODISHA",ODISHA
684,"NaNGAVALLI AT RAYAGADA D/S, ODISHA",ODISHA
685,"RUSHIKULYA AT GANJAM U/S, ODISHA",ODISHA
686,"RUSHIKULYA AT GANJAM D/S, ODISHA",ODISHA
687,VANSADHARA AT MUNIGUDA (D/S OF M/S VEDANTAALUMINaN PROJECT),ODISHA
688,VANSADHARA ATGUNUPUR (INTERSTATE BOUNDRY),ODISHA
694,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNaNDU",TAMILNaNDU
695,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINaNSAM,TAMILNaNDU",TAMILNaNDU
696,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNaNDU",TAMILNaNDU
697,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE,TAMILNaNDU.",TAMILNaNDU
698,"TAMBIRAPARANI AT MURAPPANaNDU, TAMILNaNDU",TAMILNaNDU
699,"TAMBIRAPARANI AT PAPPANKULAM,TAMILNaNDU",TAMILNaNDU
700,"TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM, TAMILNaNDU",TAMILNaNDU
701,"TAMBIRAPARANI AT ARUMUGANERI, TAMILNaNDU",TAMILNaNDU
702,"TAMBIRAPARANI AT ERAL, THOTHUKUDI, TAMILNaNDU",TAMILNaNDU
703,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI, TAMILNaNDU",TAMILNaNDU
704,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANaNICUT, TIRUNELVELI, TAMILNaNDU",TAMILNaNDU
705,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI, TAMILNaNDU",TAMILNaNDU
706,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI, TAMILNaNDU",TAMILNaNDU
707,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT, TAMILNaNDU",TAMILNaNDU
733,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA
734,"BUGI RIVER AT DALU, SOUTH GARO HILLS",MEGHALAYA
735,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA
736,"GANOL RIVER TURA, MEGHALAYA",MEGHALAYA
737,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.,MEGHALAYA",MEGHALAYA
738,"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",MEGHALAYA
739,"KYNSHI RIVER AT NaNGKHNUM, WEST KHASI HILLS",MEGHALAYA
740,"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA
741,LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNaNR),MEGHALAYA
742,LUKHA RIVER AT SUNaNPUR (TRIBUTARY OF LUNaNR),MEGHALAYA
743,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA
744,"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA
745,"MYNTANG RIVER AT NaNRTIANG, JAYANTIA HILLS",MEGHALAYA
746,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA
747,"MYNTDU RIVER JOWAI, MEGHALAYA",MEGHALAYA
748,"MYNTDU RIVER AT LESHKA, JAYANTIA HILLS",MEGHALAYA
749,"NONBAH RIVER AT NaNGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA
750,"NONBAH RIVER AT NaNGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA
751,"RILANG RIVER AT MAWKYRWAT, WEST KHASI HILLS",MEGHALAYA
752,"SIMSANG RIVER WILLIAMNaNGAR, MEGHALAYA",MEGHALAYA
753,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA
754,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA
755,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA
756,"UMIAM MAWPHLANG RIVER AT SHELLA, EAST KHASI HILLS",MEGHALAYA
757,UMKHEN AT WAHKDAIT,MEGHALAYA
758,UMKHEN AT KSEHPONGDENG,MEGHALAYA
759,"UMKHEN RIVER AT DIENGPASOH, EAST KHASI HILLS",MEGHALAYA
760,"UMKHRAH RIVER AT DEMTHRING, SHILLONG",MEGHALAYA
761,"UMKHRAH RIVER ATUMKALIAR, SHILLONG",MEGHALAYA
762,"UMKHRAH RIVER ATMAWLAI, SLAUGHTER",MEGHALAYA
763,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA
764,"UMNGOT RIVER AT SMIT, EAST KHASI HILLS",MEGHALAYA
765,"UMNGOT RIVER AT DAWKI, EAST KHASI HILLS",MEGHALAYA
766,"UMSHYRPI RIVER AT RISA COLONY, EAST KHASI HILLS",MEGHALAYA
767,"UMSHYRPI RIVER AT LAW COLLEGE, DHANKETI, EAST KHASI HILLS",MEGHALAYA
768,"UMSHYRPI RIVER AT UMSHYRPI BRIDGE, EAST KHASI HILLS",MEGHALAYA
769,"UMTREW AT BYRNIHAT EAST, MEGHALAYA",MEGHALAYA
770,"UMTREW RIVER AT UMRAN, RINaN BHOI",MEGHALAYA
771,"WAH BLEI AT RIANGDO, WEST KHASI HILLS",MEGHALAYA
772,"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",MEGHALAYA
774,TLAWNG DOWNSTREAM AIZAWL,MIZORAM
777,"GUMTI AT U/S SOUTH TRIPURA,TRIPURA",TRIPURA
778,"GUMTI AT D/S SOUTH TRIPURA, TRIPURA",TRIPURA
779,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA
781,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",GUJARAT
782,"DAMANGANGA AT KACHIGAON D\S (DAMAN), GUJARAT",GUJARAT
784,"AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,GUJARAT",GUJARAT
786,"KOLAK AT PATALIA BDG., GUJARAT",GUJARAT
788,BALEHWAR KHADI AT N.H. NO 8,GUJARAT
790,"AMBIKA AT BILIMORA, GUJARAT",GUJARAT
793,KAVERI ON BRIDGE AT BILLIMORANaNVALSAD ROAD,GUJARAT
796,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANaNL JOINS, GOA",GOA
797,ZUARI AT PANCHAWADI,GOA
798,RIVER ZUARI AT BORIM BRIDGE,GOA
799,RIVER ZUARI AT MARCAIM JETTY,GOA
800,"MANDOVI AT NEGHBOURHOOD OF PANaNJI, GOA",GOA
801,"MANDOVI AT TONCA, MARCELA, GOA",GOA
802,RIVER MANDOVI AT AMONaN BRIDGE,GOA
803,RIVER MANDOVI AT IFFI JETTY,GOA
804,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA
805,"RIVER KALNaN AT CHANDELNaN PERNEM, GOA",GOA
806,"RIVER ASSONORA AT ASSONORA, GOA",GOA
807,"RIVER BICHOLIM VARAZAN NaNGAR , BICHOLIM",GOA
808,"RIVER CHAPORA NEAR ALORNaN FORT ,PERNEM",GOA
809,RIVER CHAPORA AT SIOLIM,GOA
810,"RIVER KHANDEPAR AT OPA NaN PONDA, GOA",GOA
811,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA
812,"RIVER KUSHAWATI NEAR BUND AT KEVONaN,RIVON,SANGUEM",GOA
813,"RIVER MADAI AT DABOS NaN  VALPOI, GOA",GOA
814,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSANaNPANaNJI,GOA
815,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAONaN CANaNCONaN NaNTIONaNL HIGHWAY)",GOA
816,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA
817,"RIVER SAL AT KHAREBAND, MARGAO",GOA
818,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA
819,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA
820,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA
821,"RIVER TALPONaN AT CANaNCONaN, GOA",GOA
822,RIVER TIRACOL AT TIRACOL,GOA
823,"RIVER VALVANT AT SANKLI NaN BICHOLIM, GOA",GOA
824,"AMBA RIVER AT D/S OF WAKEN BRIDGENaNU/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA
825,"BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS), MAHARASHTRA",MAHARASHTRA
826,"BHATSA RIVER AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA
827,"BHATSA RIVER AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA
828,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA
829,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA
830,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",MAHARASHTRA
831,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA
832,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINaN ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA
833,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNaNSWEET ZONE), ROHA",MAHARASHTRA
834,MITHI RIVER,MAHARASHTRA
835,"MUCHKUNDI RIVER AT  WAKED,RATNaNGIRI, NEAR M/S ASAHI INDIA GLASS LTD., LANJA, RATNaNGIRI.",MAHARASHTRA
836,"PATALGANGA AT SHILPHATA, MAHARASHTRA",MAHARASHTRA
837,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA
838,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA
839,"PATALGANGA RIVER AT VYAL PUMP HOUSE , KHALAPUR, RAIGAD.",MAHARASHTRA
840,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA
841,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA
842,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA
843,SAVITRI RIVER AT OVALE VILLAGE.,MAHARASHTRA
844,"SAVITRI RIVER JACKWELL AT UPSA KENDRE, NaNGALWADI, MAHAD, RAIGAD",MAHARASHTRA
845,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA
846,"SAVITRI RIVER AT DADLI BRIDGE, DADLI, MAHAD, RAIGADH",MAHARASHTRA
847,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA
848,"SURYA RIVER, U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",MAHARASHTRA
