station_code,dis_oxy,ph,conduct,bod,nit,total_coli
171,7.9,7.6,467,1.4,0.3,17
172,9.3,6.9,82,0.2,0.3,8
173,9.3,6.9,86,0.3,0.4,8
174,9,7,163,0.3,0.3,9
176,1.1,7.4,1499,75.6,0.6,250000
177,0.8,7.4,586,24,0,8150
178,6.4,7.6,576,2.8,2,211
181,6.7,8.5,218,3,0,13310
182,7.1,8.1,386,3.2,0,15300
185,5.6,7.8,317,0.8,0.6,5
187,6,7.9,301,0.8,0.4,5
188,5.9,8.4,546,2,0.6,642
189,5.3,8.2,608,1.3,0.7,14
193,5.2,8.2,556,1,0.6,10
195,0,7.3,1507,40,45.5,1600
199,5.4,8,489,0.9,0.6,7
200,5.2,8.3,587,0.9,0.5,6
202,5.4,7.6,607,5.2,3.3,633
206,6.2,7.7,404,1.2,0.5,6
208,2.4,8.2,1596,7.3,0.9,883
210,5.6,8,265,0.9,0.5,6
211,7.5,7.4,86,2,0.5,6700
212,6.5,7.3,195,1.7,0.8,1530
213,7.1,7.1,287,1.3,1.4,2320
214,8.1,6.7,58,1.3,0.4,4598
215,7.7,6.6,177,1.3,1.6,29558
216,7.7,6.9,157,1.2,1.3,11818
217,7.3,6.5,138,1.7,0.6,615
218,5.8,7.1,220,1.3,1.6,1133
219,5.3,6.8,132,2.3,0.8,62780
220,6.2,6.8,138,1.6,1.3,2975
221,6.3,6.8,136,1,1.4,31975
222,4.9,6.8,177,1.7,1.8,6740
223,6.7,7.4,166,3,0.3,344500
224,7.6,7.6,141,2.4,0.3,15667
225,7.7,7,355,0.8,1.4,5628
233,6.9,8,391,4.1,0.3,5256
235,6.2,7.9,316,5.1,0.3,5056
236,8,8,305,2.6,0,5758
237,3.3,8.4,508,36.5,0,224167
238,7.3,13.2,237,3.7,0.1,4427
239,7.8,8.2,298,2.9,0,10192
240,8.7,8.1,392,2.7,1.3,1879
241,8,8,454,3.3,1.6,3900
242,2.6,7.6,568,9.5,4,118300
243,7.7,8.2,323,3.3,0,16333
244,7.8,8.1,306,3,0,11283
245,7.5,8,478,3.4,0.4,1175
246,7.1,8.1,438,2.8,0.3,494
247,9.2,7.7,187,2.7,0.7,7258
248,7.7,8.1,488,2.9,0.3,455
249,7.5,8.1,529,3.4,0.4,1177
250,8.6,8.2,260,2.2,0,2433
251,7.6,8.1,286,2.4,0.6,2367
252,7.9,8.1,281,2.3,0.6,2633
253,8.1,8.1,232,1.9,0,1533
254,8.2,7.6,250,2.1,0,1567
255,8.3,8,252,2.2,0,1580
256,7.7,7.8,298,2.2,0,2167
257,8.6,8.1,238,2,0,1557
258,8.4,8.1,247,1.8,0,1305
259,7.9,8,302,2.1,0,2317
260,16.3,8.1,269,2,0,1655
261,8,7.4,346,2,0,1180
262,6.5,7.5,319,3.5,0,5025
263,4.2,7.3,418,7.1,0,7640
264,4.3,7.1,450,30,0,6333
265,8,8,290,2.4,0,3250
266,4.4,7.2,370,4.7,0,4450
267,8.1,8.1,228,1.8,0,1257
268,8.6,8.1,338,2.1,0,950
269,7.9,7.8,319,2.2,0,1840
270,8.8,8.2,340,2,0,900
271,5.6,7.4,330,3.5,0,5560
272,7,7.4,184,2,0,1989
273,7.1,7.6,211,2,0,2175
274,7.1,7.4,215,2.1,0,1880
275,7.8,7.8,326,2.4,0,2983
276,5.4,7.5,404,3.3,0,5883
277,7.7,7.8,333,2.3,0,2650
278,4.5,7.2,289,5.3,0,3033
279,7.3,7.8,288,2.8,0,4000
280,7,7.4,251,2.5,0,3157
281,2.1,6.9,461,8.6,0,14367
282,7.2,7.6,299,2.2,0,2750
283,2.1,7.2,457,11,0,16000
284,8,7.9,276,1.7,0,2333
285,8.4,7.9,306,2,0,1400
287,7.9,7.8,300,2.2,0,2467
288,8,7.9,289,2.1,0,1650
289,2.1,7.3,432,9.7,0,12550
290,5.8,7.2,640,6,4.3,4073
291,4.8,7.6,1090,22,3.6,52500
292,5.5,7.3,705,10,5,5433
293,5.1,7.4,1375,23.7,5.9,50333
294,5.5,7.4,745,10,6.1,29333
295,5,7.6,975,16.3,6.1,21667
296,4.9,7.7,1385,27.5,7.7,72000
