station_code,tempurature,dis_oxy,ph,conduct,bod,nit,coli,total_coli,potable
122,29.2,6.2,8.3,513,1.4,0.5,678,1250,1
124,26,6.7,8.1,791,2.6,2,28,611,1
126,28.4,5.7,8.7,1072,1.6,1.2,11,122,1
127,24.9,6.8,7.9,726,0.9,0.6,2,1875,1
128,27.6,7,7.8,669,0.6,0.4,2,1613,1
129,25.8,7.2,8,669,0.7,0.7,2,1750,1
130,28.4,6.8,8.2,818,2.9,2,36,860,1
131,26,5.5,7.6,14804,0.7,0.7,2,1450,1
134,22.3,7.7,7.5,465,1.2,0.2,9,19,1
135,23.7,7.5,7.8,331,1.5,0.2,11,21,1
139,25,4,7.7,196,8.3,0,43546,73727,0
140,25,3.7,7.5,273,9.2,0,53546,117273,0
141,25.3,4.5,7.5,281,7,0,34818,65000,0
142,24.8,8.1,8.2,522,2.4,1.8,2875,5975,0
144,27.4,5.4,7.7,394,1,0.1,913,3600,1
145,27.7,5.8,7.7,298,1,0.1,1073,3533,1
147,26.7,6.3,8.2,573,2.9,0.6,716,2950,1
148,27,6.9,7.3,1560,7.3,9.1,56,788,0
149,29.4,6.6,7.7,1049,4.3,1.3,46,1012,0
150,26.1,4.4,7.8,467,3.8,0.5,1099,4550,0
151,26.2,5.7,7.9,370,2.2,0.4,430,1744,1
152,26.9,6.7,7.7,78,0.4,0.8,58,96,1
153,25.3,7.2,7.5,219,1.1,0.3,353,1478,1
154,25.8,7.2,7.9,299,1.4,0.3,310,1357,1
155,25.7,7.2,7.9,266,1.3,0.3,308,1345,1
156,25.7,5.5,7.7,282,2.3,0.3,647,2717,1
157,24.7,7.4,7.7,138,0.7,0.2,197,408,1
158,24.4,8.1,7.7,108,0.7,0.3,11667,37848,0
159,24.6,7.5,7.7,207,1.1,0.3,6613,20942,0
160,26.8,7.2,7.9,161,1.9,0.2,15109,32509,0
161,27.3,6.3,8.1,555,1.5,0.4,15578,35738,0
162,27.4,7.2,7.9,304,1.8,0.3,18158,42583,0
163,26.8,5.9,8.1,442,0.9,0.2,12432,24552,0
164,27.2,6.4,8.1,481,0.9,0.2,22473,44153,0
165,13.2,8.9,7.1,133,0.3,0.3,5,9,1
166,17.2,7.9,7.5,295,0.6,1.5,6,22,1
167,23.3,7.7,7.7,302,1.1,0.3,11,20,1
168,23.9,7.5,7.7,348,1.4,0.3,9,20,1
169,17.4,7.9,7.3,242,0.7,1.5,5,17,1
170,21.9,8.1,7.6,508,1.1,0.4,8,17,1
171,22.8,7.9,7.6,467,1.4,0.3,8,17,1
172,10.5,9.3,6.9,82,0.2,0.3,4,8,1
173,11.2,9.3,6.9,86,0.3,0.4,2,8,1
174,12.6,9,7,163,0.3,0.3,3,9,1
176,24.3,1.1,7.4,1499,75.6,0.6,174167,250000,0
177,20.1,0.8,7.4,586,24,0,5692,8150,0
178,26.8,6.4,7.6,576,2.8,2,20,211,1
181,27.5,6.7,8.5,218,3,0,3150,13310,0
182,24,7.1,8.1,386,3.2,0,3580,15300,0
185,26.2,5.6,7.8,317,0.8,0.6,4,5,1
187,27.8,6,7.9,301,0.8,0.4,4,5,1
188,26.6,5.9,8.4,546,2,0.6,13,642,1
189,24.7,5.3,8.2,608,1.3,0.7,4,14,1
193,25.8,5.2,8.2,556,1,0.6,4,10,1
195,28,0,7.3,1507,40,45.5,41,1600,0
199,25.6,5.4,8,489,0.9,0.6,4,7,1
200,26.1,5.2,8.3,587,0.9,0.5,4,6,1
202,26.3,5.4,7.6,607,5.2,3.3,48,633,0
206,23.9,6.2,7.7,404,1.2,0.5,4,6,1
208,23.2,2.4,8.2,1596,7.3,0.9,13,883,0
210,25.9,5.6,8,265,0.9,0.5,4,6,1
211,20.8,7.5,7.4,86,2,0.5,2833,6700,0
212,24.8,6.5,7.3,195,1.7,0.8,1258,1530,1
213,25.7,7.1,7.1,287,1.3,1.4,423,2320,1
214,24.3,8.1,6.7,58,1.3,0.4,318,4598,1
215,24,7.7,6.6,177,1.3,1.6,875,29558,0
216,25,7.7,6.9,157,1.2,1.3,465,11818,0
217,25.5,7.3,6.5,138,1.7,0.6,175,615,1
218,26.9,5.8,7.1,220,1.3,1.6,228,1133,1
219,29,5.3,6.8,132,2.3,0.8,1280,62780,0
220,17.5,6.2,6.8,138,1.6,1.3,1255,2975,1
221,15.1,6.3,6.8,136,1,1.4,6048,31975,0
222,13.3,4.9,6.8,177,1.7,1.8,638,6740,0
223,27.3,6.7,7.4,166,3,0.3,169867,344500,0
224,28.8,7.6,7.6,141,2.4,0.3,4708,15667,0
225,23,7.7,7,355,0.8,1.4,1530,5628,0
233,26.9,6.9,8,391,4.1,0.3,2800,5256,0
235,26.9,6.2,7.9,316,5.1,0.3,2956,5056,0
236,22.9,8,8,305,2.6,0,4942,5758,0
237,23.3,3.3,8.4,508,36.5,0,137417,224167,0
238,26.8,7.3,13.2,237,3.7,0.1,2164,4427,0
239,23,7.8,8.2,298,2.9,0,6300,10192,0
240,25.8,8.7,8.1,392,2.7,1.3,631,1879,1
241,25.9,8,8,454,3.3,1.6,2120,3900,0
242,25,2.6,7.6,568,9.5,4,82800,118300,0
243,22.7,7.7,8.2,323,3.3,0,11083,16333,0
244,22.9,7.8,8.1,306,3,0,6917,11283,0
245,20.8,7.5,8,478,3.4,0.4,593,1175,0
246,21,7.1,8.1,438,2.8,0.3,232,494,1
247,20.3,9.2,7.7,187,2.7,0.7,4525,7258,0
248,23,7.7,8.1,488,2.9,0.3,203,455,1
249,21.6,7.5,8.1,529,3.4,0.4,583,1177,0
250,23.2,8.6,8.2,260,2.2,0,1115,2433,1
251,24.5,7.6,8.1,286,2.4,0.6,1287,2367,1
252,24.5,7.9,8.1,281,2.3,0.6,1525,2633,1
253,22.6,8.1,8.1,232,1.9,0,697,1533,1
254,19,8.2,7.6,250,2.1,0,710,1567,1
255,23,8.3,8,252,2.2,0,483,1580,1
256,23.2,7.7,7.8,298,2.2,0,848,2167,1
257,22.3,8.6,8.1,238,2,0,581,1557,1
258,23,8.4,8.1,247,1.8,0,527,1305,1
259,23.2,7.9,8,302,2.1,0,897,2317,1
260,23.1,16.3,8.1,269,2,0,769,1655,1
261,23.8,8,7.4,346,2,0,532,1180,1
262,22.4,6.5,7.5,319,3.5,0,1900,5025,0
263,23.3,4.2,7.3,418,7.1,0,2460,7640,0
264,25.6,4.3,7.1,450,30,0,1690,6333,0
265,23.3,8,8,290,2.4,0,1350,3250,1
266,24.1,4.4,7.2,370,4.7,0,1700,4450,0
267,22.1,8.1,8.1,228,1.8,0,721,1257,1
268,18.5,8.6,8.1,338,2.1,0,500,950,1
269,23,7.9,7.8,319,2.2,0,740,1840,1
270,18,8.8,8.2,340,2,0,500,900,1
271,22.3,5.6,7.4,330,3.5,0,2000,5560,0
272,24.8,7,7.4,184,2,0,670,1989,1
273,23.5,7.1,7.6,211,2,0,900,2175,1
274,24.2,7.1,7.4,215,2.1,0,738,1880,1
275,23.7,7.8,7.8,326,2.4,0,1500,2983,1
276,20.9,5.4,7.5,404,3.3,0,1900,5883,0
277,23.7,7.7,7.8,333,2.3,0,1200,2650,1
278,25.2,4.5,7.2,289,5.3,0,1182,3033,0
279,18.5,7.3,7.8,288,2.8,0,1400,4000,1
280,23.3,7,7.4,251,2.5,0,1343,3157,1
281,25.6,2.1,6.9,461,8.6,0,3867,14367,0
282,23.5,7.2,7.6,299,2.2,0,1045,2750,1
283,27.8,2.1,7.2,457,11,0,5000,16000,0
284,24.5,8,7.9,276,1.7,0,743,2333,1
285,22.6,8.4,7.9,306,2,0,596,1400,1
287,22.3,7.9,7.8,300,2.2,0,827,2467,1
288,21,8,7.9,289,2.1,0,600,1650,1
289,27.8,2.1,7.3,432,9.7,0,2850,12550,0
290,22.7,5.8,7.2,640,6,4.3,1450,4073,0
291,19,4.8,7.6,1090,22,3.6,30500,52500,0
292,23,5.5,7.3,705,10,5,2020,5433,0
293,24,5.1,7.4,1375,23.7,5.9,27333,50333,0
294,24.7,5.5,7.4,745,10,6.1,12167,29333,0
295,25,5,7.6,975,16.3,6.1,11167,21667,0
296,22,4.9,7.7,1385,27.5,7.7,42500,72000,0
297,24.3,5,7.3,1067,19.3,6.2,21467,39533,0
298,23.3,5.3,7.2,970,13.3,5.9,3167,7133,0
299,19.5,4.9,7.7,1418,21,4.2,28000,49500,0
300,21.5,4.1,7.5,1015,23,6.1,35000,57500,0
301,20,4.8,7.4,854,17,4.7,20500,38000,0
302,32.6,4,6.8,370,3,0.8,4,9,0
303,23.6,7.8,7.8,376,1.3,0.4,9,17,1
304,23.9,7.7,7.7,354,1.3,0.3,12,22,1
305,24.5,7.6,7.9,344,1.6,0.4,12,22,1
306,18.1,4.4,7.1,694,41,1.2,92,224,0
307,25.1,5.9,8,401,0.9,0.7,4,15,1
308,22.3,6,7.2,106,0.8,0.4,4,15,1
309,23.7,5.6,7.9,326,1.1,0.8,4,4,1
310,23.9,6.2,8.1,592,1,0.7,4,6,1
311,25.1,6.6,7.8,95,4.9,0.2,16,36,0
312,29.6,6.9,7.9,99,5,0.4,15,34,0
313,27.4,6.8,7.7,85,5.2,0.3,11,23,0
314,27.8,6.7,7.8,80,4.9,0.3,12,29,0
315,30.6,5.1,7.3,3937,10.3,1.8,31,83,0
316,25,5.6,7.9,468,3.6,1.9,66,164,0
317,25,6.4,7.6,541,5.7,0.6,23,45,0
318,25,5.5,7.4,6166,7.7,1.1,44,67,0
319,25.3,5.3,7.7,24062,9.9,1.2,156,304,0
320,25.1,6.7,7.6,83,4.8,0.2,28,76,0
321,26.1,3.6,7.4,4424,31.3,2.2,276,474,0
323,27.4,5.9,7.4,268,6.4,0.4,37,68,0
324,27.1,5.4,7.5,2413,7.4,1.5,59,116,0
325,27.2,5.8,7.3,384,5.4,0.6,37,78,0
326,27.3,5.9,7.4,269,5.1,1.2,34,60,0
327,27,6,7.3,269,8.5,0.4,32,58,0
328,27.2,6.1,7.3,196,6.1,0.5,30,63,0
329,27,5.9,7.4,269,6.4,0.4,19,47,0
330,22.6,6.3,7.8,223,4.6,0.9,15,32,0
336,27.1,6.8,7.9,5390,4.9,0.8,15,28,0
337,27.6,6.6,8.1,161,4.6,0.3,16,32,0
338,27.3,6.7,8,138,5,0.3,14,33,0
339,27.8,6.7,7.8,81,4.9,0.3,14,35,0
340,28,5.9,7.7,194,5.5,0.6,22,51,0
341,28.1,6.3,7.6,186,4.6,0.6,13,31,0
342,28.6,6.6,7.6,207,4.7,0.7,12,31,0
343,26.9,6.8,7.7,85,5,0.4,15,34,0
351,26.3,3.7,7.9,453,7.5,2.2,202,1468,0
352,24.4,5.8,8.1,523,5.7,2.1,164,1529,0
353,28.5,5.9,7.9,524,11.1,3,52,609,0
354,27.1,3.3,7.7,424,13.7,3.1,386,1800,0
355,27.3,5.3,8,720,7.2,2.9,209,1700,0
356,27.5,5.4,8,755,7.2,3.2,187,1675,0
357,29.5,6.4,8.2,991,5.3,2,251,1425,0
358,29.1,6.2,8.2,1010,5.1,2.3,164,1529,0
359,27.3,6.8,8.4,949,3.8,0.3,1483,1600,0
360,28.5,6.7,14.7,917,3,0.2,992,1542,0
361,29.6,7.6,8.1,834,2.1,0.2,1183,1600,1
362,29.2,6.4,8.4,874,3,0.3,1033,1483,0
363,29.8,5.7,7.2,189,2,0.2,4953,8391,0
364,29.5,6.3,6.9,179,1.7,0.1,3243,5330,0
365,29.7,5.8,6.9,64,3.8,0.5,5382,8443,0
366,29.5,5.8,7.3,83,1.9,0.4,3428,5500,0
367,30,5.5,7.4,81,1.5,0.1,2853,4049,1
368,29.2,6.1,6.7,308,1.4,0.3,3355,5672,0
369,29.6,6.4,6.7,414,1,0.2,6073,9423,0
370,30,6.4,7.6,305,2.2,0.1,3478,4990,1
371,30.1,6.3,7.6,77,2.3,0.1,2606,4301,1
372,27.8,7.1,7.1,176,1.2,0.1,4573,7817,0
373,27.9,6.7,6.4,93,1.4,0.1,2147,3433,1
374,29.3,7.4,6.8,121,1.7,0.4,11633,18125,0
375,29.2,6.9,7,620,1.1,0.1,3500,6300,0
376,30,6,7.5,72,1.6,0.2,4995,9517,0
377,29,7.3,7,247,1.5,0.2,1095,2453,1
378,29.1,7.3,7,188,1,0.1,1286,3048,1
379,28.7,7,6.9,224,1.2,0.3,3896,6742,0
380,28.7,7.3,6.7,144,1.5,0.1,1940,3052,1
381,29.5,5.3,6.8,319,1.8,0.3,6458,10250,0
382,29,6.3,6.4,79,1.6,1.4,7592,12842,0
383,29.4,5.4,7.6,39,1.4,0.1,3176,6367,0
