station_code;region;tempurature;dis_oxy;ph;conduct;bod;nit;coli;total_coli;potable
1;MAHARASHTRA;29.2;6.4;8.1;735;3.4;2;3;73;0
2;MAHARASHTRA;24.5;6;8;270;3.1;2;72;182;0
3;MAHARASHTRA;25.8;5.5;7.8;355;4.2;9;59;133;0
4;MAHARASHTRA;24.8;5.5;7.8;371;5.6;3.55;90;283;0
5;MAHARASHTRA;25.7;5.7;7.9;294;3.2;2.69;45;132;0
6;MAHARASHTRA;25;4.5;7.5;513;12.6;2.3;131;320;0
7;MAHARASHTRA;24.8;5.2;7.7;475;10.3;1.9;122;343;0
8;MAHARASHTRA;26.3;5.6;7.7;385;3.8;1;110;292;0
9;MAHARASHTRA;26.5;5.2;7.8;410;5.2;1.5;77;218;0
10;MAHARASHTRA;26;6.5;7.8;178;2.5;1.99;22;74;1
11;MAHARASHTRA;29.2;6.2;7.9;749;3.5;1.75;2;80;0
12;MAHARASHTRA;29.5;6.4;8;834;4.7;1.8;2;77;0
13;MAHARASHTRA;30.2;6.2;8;925;4.2;6.9;2;82;0
14;MAHARASHTRA;26.7;6.5;8;730;4;2.9;2;78;0
15;MAHARASHTRA;27.2;7;7.9;637;4.7;6.5;2;80;0
16;MAHARASHTRA;29.7;6.4;8;656;3.6;1.8;3;82;0
17;MAHARASHTRA;26;6.6;8.1;601;3.2;6.75;2;80;0
18;ANDHRA PRADESH;28;5.5;8.1;826;1.7;1;27;161;1
19;ANDHRA PRADESH;31;6.9;9;526;12;0;130;285;0
20;ANDHRA PRADESH;30;5.7;8.5;575;13;0;240;700;0
21;ANDHRA PRADESH;30.5;3.2;8.8;803;15;0;500;1250;0
22;ANDHRA PRADESH;30.5;6.7;9;531;12.5;0;130;425;0
23;ANDHRA PRADESH;29;4.4;8.5;656;13;0;300;500;0
24;ANDHRA PRADESH;30;6.1;8.4;418;6.5;0;300;500;0
25;ANDHRA PRADESH;29.5;6.6;8.2;421;4;0;280;700;0
26;ANDHRA PRADESH;29.5;4.1;9.1;518;16.5;0;240;900;0
27;ANDHRA PRADESH;20;6;8.1;443;0.3;1;2;640;1
28;ANDHRA PRADESH;20.2;5.6;8;462;0.8;1;3;5280;0
29;ANDHRA PRADESH;19.8;6.1;7.9;666;1.8;0.84;2;1160;1
