station_code,region,tempurature,dis_oxy,ph,conduct,bod,nit,coli,total_coli,grade
58,UTTAR PRADESH,24.4,8.5,8.3,404,4.2,2,19500,32417,F
59,UTTAR PRADESH,22.4,8.4,7.7,290,2.5,0.4,1567,3078,C
60,UTTAR PRADESH,23.8,8.4,7.6,299,2.6,0.5,2146,6518,D
61,UTTAR PRADESH,22.5,8.3,8.2,338,2.9,0,2617,3950,C
62,UTTAR PRADESH,22.5,7.8,8.5,385,4.5,0,31167,47333,F
63,UTTAR PRADESH,22.7,7.7,8.5,369,3.9,0,17500,25667,F
64,UTTAR PRADESH,17,8.6,8,290,1.8,0,70,125,B
65,BIHAR,24.5,8.4,8.1,371,2.5,0,1190,3100,C
66,BIHAR,24.9,8.1,8.1,376,2.7,0,3183,9350,D
67,BIHAR,24.5,8.1,8.1,376,2.3,0,1600,3436,C
68,BIHAR,22.3,8.2,8.1,270,2.2,0,660,2033,C
69,BIHAR,23.8,8.3,8.2,311,2.5,0,1483,3967,C
70,BIHAR,24.7,7.8,7.9,402,2.8,0,6527,19091,D
71,BIHAR,24.9,7.9,8,402,2.7,0,3782,11564,D
72,BIHAR,24.7,7.3,7.7,452,2.5,0,1382,4573,C
73,BIHAR,24.4,8.1,8,386,2.3,0,1846,4982,C
74,BIHAR,24.1,7.8,7.9,277,2.3,0,1251,2770,C
75,BIHAR,24,7.7,7.8,295,2.6,0,2792,9430,D
76,BIHAR,23.9,7.6,7.8,268,2.4,0,1622,4411,C
77,BIHAR,24,7.7,7.8,280,2.5,0,1560,3722,C
78,BIHAR,24.4,7.7,7.8,276,2.6,0,2933,9044,D
79,BIHAR,23.4,7.8,7.9,265,2.7,0,2678,8511,D
80,BIHAR,24.5,8.2,8.1,352,2.5,0,1705,4683,C
81,BIHAR,24.1,8.1,8.1,375,2.4,0,1198,2855,C
82,BIHAR,23.4,7.8,7.9,260,2.2,0,1106,2529,C
83,BIHAR,23.8,7.8,7.9,267,2.3,0,998,2478,C
84,BIHAR,23.9,7.8,7.9,270,2.3,0,1220,2844,C
85,BIHAR,23.9,7.7,7.9,262,2.4,0,1290,3020,C
86,BIHAR,24.5,8,8,377,2.4,0,1846,5073,D
87,BIHAR,22.5,7.7,7.9,292,2.3,0,1048,2833,C
88,WEST BENGAL,26.5,7.4,7.9,304,4.2,0.8,166358,287833,F
89,WEST BENGAL,27.4,7.4,7.9,353,3.3,0.7,143275,474917,F
90,WEST BENGAL,28.3,6.9,8,312,2.8,0.8,34392,61283,F
91,WEST BENGAL,27,6.7,7.8,315,3.4,0.9,106417,171417,F
92,WEST BENGAL,27.3,6,7.9,323,3.1,0.7,153917,335000,F
93,WEST BENGAL,26.5,6.7,8,319,4.2,0.7,285833,586250,F
94,WEST BENGAL,26.5,6.3,8,314,3.6,0.7,122417,286083,F
95,WEST BENGAL,26.4,6.1,8.1,322,3.2,0.7,310417,542917,F
96,WEST BENGAL,27.1,6.3,8.1,368,3.4,0.6,31417,78083,F
97,WEST BENGAL,26.4,6.9,8,1900,3.7,0.8,41750,88917,F
98,ASSAM,22.3,7.2,7.1,216,1.5,1.4,146,5525,E
99,ASSAM,21.8,7.7,7.2,256,1.4,1.5,2128,45100,E
100,ASSAM,25.1,6.9,7,273,1.5,2.5,585,26322,F
101,ASSAM,24.3,7.5,7,298,1.3,1.7,12418,93005,F
102,ASSAM,25.4,7.9,7.2,236,1.4,2.3,5449,134042,F
103,ASSAM,27.7,6,7.3,295,1.1,1.9,444,8382,E
104,ASSAM,27,8.1,7.6,210,0.9,1.2,3388,123400,F
105,ASSAM,25.8,7.3,7.1,168,1.6,0.4,1653,61303,F
106,ASSAM,27.3,7.1,7.2,289,1.6,1.4,1208,8725,E
107,ASSAM,28.2,5.1,7,253,1.5,1.4,2990,180228,F
108,MAHARASHTRA,23.1,6.8,8.1,160,3.1,2.9,15,387,F
110,MAHARASHTRA,23.8,6,8.2,262,5.1,1.8,149,1357,E
111,MAHARASHTRA,25,6.7,7.6,441,2.9,1.5,2,80,B
113,MAHARASHTRA,24,7,7.5,400,2.8,1.2,4,110,B
114,MAHARASHTRA,20.8,6.1,8.4,551,5.6,2.3,183,1377,F
115,MAHARASHTRA,22,6.2,8.3,458,4.6,2.3,191,1481,F
116,MAHARASHTRA,22.7,6.1,8.2,413,5.5,1.8,171,1257,E
117,KARNaNTAKA,29,7.5,8,685,2.1,2.3,780,1390,C
118,KARNaNTAKA,28,7.5,8,808,1.8,2.1,890,1460,C
119,KARNaNTAKA,29.3,5.9,8.3,521,1.5,0.4,518,1110,C
120,KARNaNTAKA,29.4,7.2,8.3,916,1.9,0.2,792,1483,C
121,KARNaNTAKA,29.5,7.1,8.2,718,1.9,0.2,538,1100,C
122,KARNaNTAKA,29.2,6.2,8.3,513,1.4,0.5,678,1250,C
124,ANDHRA PRADESH,26,6.7,8.1,791,2.6,2,28,611,C
126,ANDHRA PRADESH,28.4,5.7,8.7,1072,1.6,1.2,11,122,C
127,ANDHRA PRADESH,24.9,6.8,7.9,726,0.9,0.6,2,1875,C
128,ANDHRA PRADESH,27.6,7,7.8,669,0.6,0.4,2,1613,C
129,ANDHRA PRADESH,25.8,7.2,8,669,0.7,0.7,2,1750,C
130,ANDHRA PRADESH,28.4,6.8,8.2,818,2.9,2,36,860,C
131,ANDHRA PRADESH,26,5.5,7.6,14804,0.7,0.7,2,1450,C
134,HIMACHAL PRADESH,22.3,7.7,7.5,465,1.2,0.2,9,19,A
135,HIMACHAL PRADESH,23.7,7.5,7.8,331,1.5,0.2,11,21,A
139,UTTAR PRADESH,25,4,7.7,196,8.3,0,43546,73727,F
140,UTTAR PRADESH,25,3.7,7.5,273,9.2,0,53546,117273,F
141,UTTAR PRADESH,25.3,4.5,7.5,281,7,0,34818,65000,F
142,UTTAR PRADESH,24.8,8.1,8.2,522,2.4,1.8,2875,5975,E
144,KARNaNTAKA,27.4,5.4,7.7,394,1,0.1,913,3600,C
145,KARNaNTAKA,27.7,5.8,7.7,298,1,0.1,1073,3533,C
147,KARNaNTAKA,26.7,6.3,8.2,573,2.9,0.6,716,2950,C
148,KARNaNTAKA,27,6.9,7.3,1560,7.3,9.1,56,788,F
149,KARNaNTAKA,29.4,6.6,7.7,1049,4.3,1.3,46,1012,E
150,KARNaNTAKA,26.1,4.4,7.8,467,3.8,0.5,1099,4550,D
151,KARNaNTAKA,26.2,5.7,7.9,370,2.2,0.4,430,1744,C
152,KERALA,26.9,6.7,7.7,78,0.4,0.8,58,96,B
153,KARNaNTAKA,25.3,7.2,7.5,219,1.1,0.3,353,1478,C
154,KARNaNTAKA,25.8,7.2,7.9,299,1.4,0.3,310,1357,C
155,KARNaNTAKA,25.7,7.2,7.9,266,1.3,0.3,308,1345,C
156,KARNaNTAKA,25.7,5.5,7.7,282,2.3,0.3,647,2717,C
157,KERALA,24.7,7.4,7.7,138,0.7,0.2,197,408,B
158,TAMILNaNDU,24.4,8.1,7.7,108,0.7,0.3,11667,37848,D
159,TAMILNaNDU,24.6,7.5,7.7,207,1.1,0.3,6613,20942,D
160,TAMILNaNDU,26.8,7.2,7.9,161,1.9,0.2,15109,32509,D
161,TAMILNaNDU,27.3,6.3,8.1,555,1.5,0.4,15578,35738,D
162,TAMILNaNDU,27.4,7.2,7.9,304,1.8,0.3,18158,42583,D
163,TAMILNaNDU,26.8,5.9,8.1,442,0.9,0.2,12432,24552,D
164,TAMILNaNDU,27.2,6.4,8.1,481,0.9,0.2,22473,44153,D
165,HIMACHAL PRADESH,13.2,8.9,7.1,133,0.3,0.3,5,9,A
166,HIMACHAL PRADESH,17.2,7.9,7.5,295,0.6,1.5,6,22,A
167,HIMACHAL PRADESH,23.3,7.7,7.7,302,1.1,0.3,11,20,A
168,HIMACHAL PRADESH,23.9,7.5,7.7,348,1.4,0.3,9,20,A
169,HIMACHAL PRADESH,17.4,7.9,7.3,242,0.7,1.5,5,17,A
170,HIMACHAL PRADESH,21.9,8.1,7.6,508,1.1,0.4,8,17,A
171,HIMACHAL PRADESH,22.8,7.9,7.6,467,1.4,0.3,8,17,A
172,HIMACHAL PRADESH,10.5,9.3,6.9,82,0.2,0.3,4,8,A
173,HIMACHAL PRADESH,11.2,9.3,6.9,86,0.3,0.4,2,8,A
174,HIMACHAL PRADESH,12.6,9,7,163,0.3,0.3,3,9,A
176,UTTAR PRADESH,24.3,1.1,7.4,1499,75.6,0.6,174167,250000,F
177,UTTAR PRADESH,20.1,0.8,7.4,586,24,0,5692,8150,E
178,MADHYA PRADESH,26.8,6.4,7.6,576,2.8,2,20,211,B
181,UTTAR PRADESH,27.5,6.7,8.5,218,3,0,3150,13310,F
182,UTTAR PRADESH,24,7.1,8.1,386,3.2,0,3580,15300,D
185,RAJASTHAN,26.2,5.6,7.8,317,0.8,0.6,4,5,B
187,RAJASTHAN,27.8,6,7.9,301,0.8,0.4,4,5,A
188,RAJASTHAN,26.6,5.9,8.4,546,2,0.6,13,642,C
189,RAJASTHAN,24.7,5.3,8.2,608,1.3,0.7,4,14,B
193,RAJASTHAN,25.8,5.2,8.2,556,1,0.6,4,10,B
195,MADHYA PRADESH,28,0,7.3,1507,40,45.5,41,1600,F
199,RAJASTHAN,25.6,5.4,8,489,0.9,0.6,4,7,B
200,RAJASTHAN,26.1,5.2,8.3,587,0.9,0.5,4,6,B
202,MADHYA PRADESH,26.3,5.4,7.6,607,5.2,3.3,48,633,F
206,RAJASTHAN,23.9,6.2,7.7,404,1.2,0.5,4,6,A
208,RAJASTHAN,23.2,2.4,8.2,1596,7.3,0.9,13,883,E
210,RAJASTHAN,25.9,5.6,8,265,0.9,0.5,4,6,B
211,WEST BENGAL,20.8,7.5,7.4,86,2,0.5,2833,6700,D
212,ASSAM,24.8,6.5,7.3,195,1.7,0.8,1258,1530,C
213,ASSAM,25.7,7.1,7.1,287,1.3,1.4,423,2320,C
214,ASSAM,24.3,8.1,6.7,58,1.3,0.4,318,4598,C
215,ASSAM,24,7.7,6.6,177,1.3,1.6,875,29558,E
216,ASSAM,25,7.7,6.9,157,1.2,1.3,465,11818,E
217,ASSAM,25.5,7.3,6.5,138,1.7,0.6,175,615,C
218,ASSAM,26.9,5.8,7.1,220,1.3,1.6,228,1133,C
219,ASSAM,29,5.3,6.8,132,2.3,0.8,1280,62780,F
220,ASSAM,17.5,6.2,6.8,138,1.6,1.3,1255,2975,C
221,ASSAM,15.1,6.3,6.8,136,1,1.4,6048,31975,E
222,ASSAM,13.3,4.9,6.8,177,1.7,1.8,638,6740,E
223,WEST BENGAL,27.3,6.7,7.4,166,3,0.3,169867,344500,F
224,WEST BENGAL,28.8,7.6,7.6,141,2.4,0.3,4708,15667,D
225,ASSAM,23,7.7,7,355,0.8,1.4,1530,5628,E
233,UTTAR PRADESH,26.9,6.9,8,391,4.1,0.3,2800,5256,D
235,UTTAR PRADESH,26.9,6.2,7.9,316,5.1,0.3,2956,5056,D
236,UTTAR PRADESH,22.9,8,8,305,2.6,0,4942,5758,D
237,UTTAR PRADESH,23.3,3.3,8.4,508,36.5,0,137417,224167,F
238,UTTAR PRADESH,26.8,7.3,13.2,237,3.7,0.1,2164,4427,F
239,UTTAR PRADESH,23,7.8,8.2,298,2.9,0,6300,10192,D
240,UTTAR PRADESH,25.8,8.7,8.1,392,2.7,1.3,631,1879,C
241,UTTAR PRADESH,25.9,8,8,454,3.3,1.6,2120,3900,E
242,UTTAR PRADESH,25,2.6,7.6,568,9.5,4,82800,118300,F
243,UTTAR PRADESH,22.7,7.7,8.2,323,3.3,0,11083,16333,D
244,UTTAR PRADESH,22.9,7.8,8.1,306,3,0,6917,11283,D
245,UTTAR PRADESH,20.8,7.5,8,478,3.4,0.4,593,1175,D
246,UTTAR PRADESH,21,7.1,8.1,438,2.8,0.3,232,494,B
247,UTTAR PRADESH,20.3,9.2,7.7,187,2.7,0.7,4525,7258,D
248,UTTAR PRADESH,23,7.7,8.1,488,2.9,0.3,203,455,B
249,UTTAR PRADESH,21.6,7.5,8.1,529,3.4,0.4,583,1177,D
250,BIHAR,23.2,8.6,8.2,260,2.2,0,1115,2433,C
251,UTTAR PRADESH,24.5,7.6,8.1,286,2.4,0.6,1287,2367,C
252,UTTAR PRADESH,24.5,7.9,8.1,281,2.3,0.6,1525,2633,C
253,BIHAR,22.6,8.1,8.1,232,1.9,0,697,1533,C
254,BIHAR,19,8.2,7.6,250,2.1,0,710,1567,C
255,BIHAR,23,8.3,8,252,2.2,0,483,1580,C
256,BIHAR,23.2,7.7,7.8,298,2.2,0,848,2167,C
257,BIHAR,22.3,8.6,8.1,238,2,0,581,1557,C
258,BIHAR,23,8.4,8.1,247,1.8,0,527,1305,C
259,BIHAR,23.2,7.9,8,302,2.1,0,897,2317,C
260,BIHAR,23.1,16.3,8.1,269,2,0,769,1655,C
261,BIHAR,23.8,8,7.4,346,2,0,532,1180,C
262,BIHAR,22.4,6.5,7.5,319,3.5,0,1900,5025,D
263,BIHAR,23.3,4.2,7.3,418,7.1,0,2460,7640,D
264,BIHAR,25.6,4.3,7.1,450,30,0,1690,6333,D
265,BIHAR,23.3,8,8,290,2.4,0,1350,3250,C
266,BIHAR,24.1,4.4,7.2,370,4.7,0,1700,4450,D
267,BIHAR,22.1,8.1,8.1,228,1.8,0,721,1257,C
268,BIHAR,18.5,8.6,8.1,338,2.1,0,500,950,C
269,BIHAR,23,7.9,7.8,319,2.2,0,740,1840,C
270,BIHAR,18,8.8,8.2,340,2,0,500,900,C
271,BIHAR,22.3,5.6,7.4,330,3.5,0,2000,5560,D
272,BIHAR,24.8,7,7.4,184,2,0,670,1989,C
273,BIHAR,23.5,7.1,7.6,211,2,0,900,2175,C
274,BIHAR,24.2,7.1,7.4,215,2.1,0,738,1880,C
275,BIHAR,23.7,7.8,7.8,326,2.4,0,1500,2983,C
276,BIHAR,20.9,5.4,7.5,404,3.3,0,1900,5883,D
277,BIHAR,23.7,7.7,7.8,333,2.3,0,1200,2650,C
278,BIHAR,25.2,4.5,7.2,289,5.3,0,1182,3033,D
279,BIHAR,18.5,7.3,7.8,288,2.8,0,1400,4000,C
280,BIHAR,23.3,7,7.4,251,2.5,0,1343,3157,C
281,BIHAR,25.6,2.1,6.9,461,8.6,0,3867,14367,E
282,BIHAR,23.5,7.2,7.6,299,2.2,0,1045,2750,C
283,BIHAR,27.8,2.1,7.2,457,11,0,5000,16000,E
284,BIHAR,24.5,8,7.9,276,1.7,0,743,2333,C
285,BIHAR,22.6,8.4,7.9,306,2,0,596,1400,C
287,BIHAR,22.3,7.9,7.8,300,2.2,0,827,2467,C
288,BIHAR,21,8,7.9,289,2.1,0,600,1650,C
289,BIHAR,27.8,2.1,7.3,432,9.7,0,2850,12550,E
290,PUNJAB,22.7,5.8,7.2,640,6,4.3,1450,4073,F
291,PUNJAB,19,4.8,7.6,1090,22,3.6,30500,52500,F
292,PUNJAB,23,5.5,7.3,705,10,5,2020,5433,F
293,PUNJAB,24,5.1,7.4,1375,23.7,5.9,27333,50333,F
294,PUNJAB,24.7,5.5,7.4,745,10,6.1,12167,29333,F
295,PUNJAB,25,5,7.6,975,16.3,6.1,11167,21667,F
296,PUNJAB,22,4.9,7.7,1385,27.5,7.7,42500,72000,F
297,PUNJAB,24.3,5,7.3,1067,19.3,6.2,21467,39533,F
298,PUNJAB,23.3,5.3,7.2,970,13.3,5.9,3167,7133,F
299,PUNJAB,19.5,4.9,7.7,1418,21,4.2,28000,49500,F
300,PUNJAB,21.5,4.1,7.5,1015,23,6.1,35000,57500,F
301,PUNJAB,20,4.8,7.4,854,17,4.7,20500,38000,F
302,RAJASTHAN,32.6,4,6.8,370,3,0.8,4,9,D
303,HIMACHAL PRADESH,23.6,7.8,7.8,376,1.3,0.4,9,17,A
304,HIMACHAL PRADESH,23.9,7.7,7.7,354,1.3,0.3,12,22,A
305,HIMACHAL PRADESH,24.5,7.6,7.9,344,1.6,0.4,12,22,A
306,HIMACHAL PRADESH,18.1,4.4,7.1,694,41,1.2,92,224,E
307,RAJASTHAN,25.1,5.9,8,401,0.9,0.7,4,15,B
308,RAJASTHAN,22.3,6,7.2,106,0.8,0.4,4,15,A
309,RAJASTHAN,23.7,5.6,7.9,326,1.1,0.8,4,4,B
310,RAJASTHAN,23.9,6.2,8.1,592,1,0.7,4,6,A
311,MAHARASHTRA,25.1,6.6,7.8,95,4.9,0.2,16,36,D
312,MAHARASHTRA,29.6,6.9,7.9,99,5,0.4,15,34,D
313,MAHARASHTRA,27.4,6.8,7.7,85,5.2,0.3,11,23,D
314,MAHARASHTRA,27.8,6.7,7.8,80,4.9,0.3,12,29,D
315,MAHARASHTRA,30.6,5.1,7.3,3937,10.3,1.8,31,83,F
