STATION CODE|LOCATIONS|STATE|TEMP|DO|pH|CONDUCTIVITY|BOD|NITRATE_N_NITRITE_N|FECAL_COLIFORM|TOTAL_COLIFORM
51|GANGA AT BITHOOR (KANPUR), U.P.|UTTAR PRADESH|27.0|7.9|8.2|290.0|3.0|0.2|2333.0|4256.0
52|GANGA AT KANPUR U/S (RANIGHAT), U.P|UTTAR PRADESH|27.0|7.5|8.2|307.0|3.4|0.2|2600.0|4856.0
53|GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P|UTTAR PRADESH|27.0|6.3|7.7|430.0|5.5|0.3|15889.0|54333.0
54|GANGA AT DALMAU (RAI BAREILLY), U.P.|UTTAR PRADESH|22.1|8.0|7.8|213.0|3.7|0.8|5517.0|8250.0
55|GANGA AT KALA KANKAR, RAEBARELI|UTTAR PRADESH|22.1|8.2|7.8|209.0|3.6|0.8|5158.0|7967.0
56|GANGA AT ALLAHABAD (RASOOLABAD), U.P.|UTTAR PRADESH|24.4|8.7|8.3|385.0|3.6|1.7|17283.0|29500.0
57|GANGA AT KADAGHAT, ALLAHABAD|UTTAR PRADESH|24.5|8.4|8.3|382.0|3.9|1.8|18333.0|31833.0
58|GANGA AT ALLAHABAD D/S (SANGAM), U.P.|UTTAR PRADESH|24.4|8.5|8.3|404.0|4.2|2.0|19500.0|32417.0
59|GANGA U/S, VINDHYACHAL, MIRZAPUR|UTTAR PRADESH|22.4|8.4|7.7|290.0|2.5|0.4|1567.0|3078.0
60|GANGA D/S, MIRZAPUR|UTTAR PRADESH|23.8|8.4|7.6|299.0|2.6|0.5|2146.0|6518.0
61|GANGA AT VARANaNSI U/S (ASSIGHAT), U.P|UTTAR PRADESH|22.5|8.3|8.2|338.0|2.9|0.0|2617.0|3950.0
62|GANGA AT VARANaNSI D/S (MALVIYA BRIDGE), U.P|UTTAR PRADESH|22.5|7.8|8.5|385.0|4.5|0.0|31167.0|47333.0
63|GANGA AT TRIGHAT (GHAZIPUR), U.P|UTTAR PRADESH|22.7|7.7|8.5|369.0|3.9|0.0|17500.0|25667.0
64|SHUKRA TAL, MUZAFFARNaNGAR, NEAR GANGA RIVER|UTTAR PRADESH|17.0|8.6|8.0|290.0|1.8|0.0|70.0|125.0
65|GANGA AT BUXAR,BIHAR|BIHAR|24.5|8.4|8.1|371.0|2.5|0.0|1190.0|3100.0
66|GANGA AT BUXAR, RAMREKHAGHAT|BIHAR|24.9|8.1|8.1|376.0|2.7|0.0|3183.0|9350.0
67|GANGA AT KHURJI, PATNaN U/S, BIHAR|BIHAR|24.5|8.1|8.1|376.0|2.3|0.0|1600.0|3436.0
68|GANGA AT INDRAPURI, DEHRI ON SONE|BIHAR|22.3|8.2|8.1|270.0|2.2|0.0|660.0|2033.0
69|GANGA��AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA|BIHAR|23.8|8.3|8.2|311.0|2.5|0.0|1483.0|3967.0
70|GANGA DARBHANGA GHAT AT PATNaN|BIHAR|24.7|7.8|7.9|402.0|2.8|0.0|6527.0|19091.0
71|GANGA AT PATNaN D/S (GANGA BRIDGE),BIHAR|BIHAR|24.9|7.9|8.0|402.0|2.7|0.0|3782.0|11564.0
72|GANGA AT PUNPUN, PATNaN|BIHAR|24.7|7.3|7.7|452.0|2.5|0.0|1382.0|4573.0
73|GANGA AT FATUHA|BIHAR|24.4|8.1|8.0|386.0|2.3|0.0|1846.0|4982.0
74|GANGA AT MOKAMA (U/S)|BIHAR|24.1|7.8|7.9|277.0|2.3|0.0|1251.0|2770.0
75|GANGA AT MOKAMA (D/S)|BIHAR|24.0|7.7|7.8|295.0|2.6|0.0|2792.0|9430.0
76|GANGA AT MUNGER|BIHAR|23.9|7.6|7.8|268.0|2.4|0.0|1622.0|4411.0
77|GANGA AT SULTANGANJ, BHAGALPUR|BIHAR|24.0|7.7|7.8|280.0|2.5|0.0|1560.0|3722.0
78|GANGA AT BHAGALPUR|BIHAR|24.4|7.7|7.8|276.0|2.6|0.0|2933.0|9044.0
79|GANGA AT KAHALGAON|BIHAR|23.4|7.8|7.9|265.0|2.7|0.0|2678.0|8511.0
80|GANGA AT D/S BUXAR NEAR GANGA BRIDGE|BIHAR|24.5|8.2|8.1|352.0|2.5|0.0|1705.0|4683.0
81|GANGA RIVER NEAR DANaNPUR (NEAR PIPAPUL)|BIHAR|24.1|8.1|8.1|375.0|2.4|0.0|1198.0|2855.0
82|GANGA RIVER AT BARH|BIHAR|23.4|7.8|7.9|260.0|2.2|0.0|1106.0|2529.0
83|GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA)|BIHAR|23.8|7.8|7.9|267.0|2.3|0.0|998.0|2478.0
84|GANGA AT U/S SULTANGANJ|BIHAR|23.9|7.8|7.9|270.0|2.3|0.0|1220.0|2844.0
85|GANGA AT U/S BHAGALPUR|BIHAR|23.9|7.7|7.9|262.0|2.4|0.0|1290.0|3020.0
86|GANGA AT MALSALAMI, PATNaN|BIHAR|24.5|8.0|8.0|377.0|2.4|0.0|1846.0|5073.0
87|GANGA RIVER AT BARAHIA|BIHAR|22.5|7.7|7.9|292.0|2.3|0.0|1048.0|2833.0
88|GANGA AT BAHARAMPORE WEST BENGAL|WEST BENGAL|26.5|7.4|7.9|304.0|4.2|0.8|166358.0|287833.0
89|NaNBADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT|WEST BENGAL|27.4|7.4|7.9|353.0|3.3|0.7|143275.0|474917.0
90|TRIBENI ON GANGA, NEAR BURNING GHAT|WEST BENGAL|28.3|6.9|8.0|312.0|2.8|0.8|34392.0|61283.0
91|GANGA AT PALTA, WEST BENGAL|WEST BENGAL|27.0|6.7|7.8|315.0|3.4|0.9|106417.0|171417.0
92|GANGA AT SERAMPORE, WEST BENGAL|WEST BENGAL|27.3|6.0|7.9|323.0|3.1|0.7|153917.0|335000.0
93|GANGA AT DAKSHMINESWAR, WEST BENGAL|WEST BENGAL|26.5|6.7|8.0|319.0|4.2|0.7|285833.0|586250.0
94|GANGA AT HOWRAH-SHIVPUR, WEST BENGAL|WEST BENGAL|26.5|6.3|8.0|314.0|3.6|0.7|122417.0|286083.0
