STATION CODE,STATE,District,Lat,Lng
1041,Gujarat,Palanpur,24.1712,72.4319
1042,Gujarat,Palanpur,24.1712,72.4319
1043,Gujarat,Surat,21.1762,72.8295
1044,Gujarat,Surat,21.1762,72.8295
1045,Gujarat,Jamnagar,22.4700,70.0700
1047,Goa,South Goa,15.1177,74.124
1048,Goa,South Goa,15.1177,74.124
1049,Goa,South Goa,15.1177,74.124
1050,Goa,South Goa,15.1177,74.124
1051,Goa,South Goa,15.1177,74.124
1052,Goa,South Goa,15.1177,74.124
1053,Goa,South Goa,15.1177,74.124
1054,Goa,South Goa,15.1177,74.124
1055,Goa,South Goa,15.1177,74.124
1056,Goa,South Goa,15.1177,74.124
1057,Goa,South Goa,15.1177,74.124
1058,Goa,South Goa,15.1177,74.124
1059,Goa,South Goa,15.1177,74.124
1060,Goa,South Goa,15.1177,74.124
1061,Goa,South Goa,15.1177,74.124
1062,Goa,South Goa,15.1177,74.124
1063,Goa,South Goa,15.1177,74.124
1064,Goa,South Goa,15.1177,74.124
1065,Goa,South Goa,15.1177,74.124
1066,Goa,South Goa,15.1177,74.124
1067,Goa,South Goa,15.1177,74.124
1068,Goa,South Goa,15.1177,74.124
1069,Goa,South Goa,15.1177,74.124
1070,Goa,South Goa,15.1177,74.124
1071,Goa,South Goa,15.1177,74.124
1072,Goa,South Goa,15.1177,74.124
1073,Goa,South Goa,15.1177,74.124
1074,Maharashtra,Raigad Fort,18.2350,73.4478
1075,Maharashtra,Thane,19.4305,72.9656
1076,Maharashtra,Thane,19.4305,72.9656
1077,Maharashtra,Thane,19.4305,72.9656
1078,Maharashtra,Ratnagiri,16.9800,73.3000
1079,Maharashtra,Dhule district,21.0577,74.6869
1080,Maharashtra,Raigad Fort,18.2350,73.4478
1081,Maharashtra,Ratnagiri,16.9800,73.3000
1082,Maharashtra,Raigad Fort,18.2350,73.4478
1083,Maharashtra,Raigad Fort,18.2350,73.4478
1084,Maharashtra,Ratnagiri,16.9800,73.3000
1085,Maharashtra,Ratnagiri,16.9800,73.3000
1086,Maharashtra,Raigad Fort,18.2350,73.4478
1087,Maharashtra,Raigad Fort,18.2350,73.4478
1088,Maharashtra,Raigad Fort,18.2350,73.4478
1089,Maharashtra,Raigad Fort,18.2350,73.4478
1090,Maharashtra,Raigad Fort,18.2350,73.4478
1091,Maharashtra,Raigad Fort,18.2350,73.4478
1092,Maharashtra,Raigad Fort,18.2350,73.4478
1093,Maharashtra,Thane,19.4305,72.9656
1094,Maharashtra,Pune district,18.6833,74.03
1095,Maharashtra,Raigad Fort,18.2350,73.4478
1096,Maharashtra,Raigad Fort,18.2350,73.4478
1097,Maharashtra,Raigad Fort,18.2350,73.4478
1098,Maharashtra,Raigad Fort,18.2350,73.4478
1099,Maharashtra,Thane,19.4305,72.9656
1100,Maharashtra,Thane,19.4305,72.9656
1101,Maharashtra,Thane,19.4305,72.9656
1102,Maharashtra,Thane,19.4305,72.9656
1103,Maharashtra,Thane,19.4305,72.9656
1104,Maharashtra,Thane,19.4305,72.9656
