STATION CODE,STATE,District,Lat,Lng
483,Gujarat,Ahmedabad,23.0145,72.5918
484,Gujarat,Ahmedabad,23.0145,72.5918
489,Gujarat,Mehsana,23.6009,72.3898
490,Gujarat,Mehsana,23.6009,72.3898
499,Gujarat,Mehsana,23.6009,72.3898
500,Gujarat,Mehsana,23.6009,72.3898
501,Madhya Pradesh,Bhopal,23.1395,77.4086
502,Madhya Pradesh,Bhopal,23.1395,77.4086
503,Madhya Pradesh,Bhopal,23.1395,77.4086
504,Madhya Pradesh,Bhopal,23.1395,77.4086
505,Madhya Pradesh,Jabalpur,23.1657,79.9324
506,Madhya Pradesh,Rewa,24.5300,81.3000
507,Madhya Pradesh,Rewa,24.5300,81.3000
508,Madhya Pradesh,Rewa,24.5300,81.3000
509,Madhya Pradesh,Rewa,24.5300,81.3000
510,Madhya Pradesh,Rewa,24.5300,81.3000
511,Madhya Pradesh,Rewa,24.5300,81.3000
512,Madhya Pradesh,Chhatarpur,24.9210,79.5839
513,Madhya Pradesh,Jabalpur,23.1657,79.9324
514,Madhya Pradesh,Jabalpur,23.1657,79.9324
515,Madhya Pradesh,Jabalpur,23.1657,79.9324
519,Rajasthan,Udaipur,24.5800,73.6800
520,Rajasthan,Udaipur,24.5800,73.6800
521,Rajasthan,Ajmer,26.4590,74.6364
522,Rajasthan,Ajmer,26.4590,74.6364
523,Rajasthan,Jodhpur,26.2833,73.0219
524,Rajasthan,Sirohi,24.8848,72.8535
525,Rajasthan,Bundi,25.4375,75.6463
526,Rajasthan,Alwar,27.3400,76.3800
527,Rajasthan,Alwar,27.3400,76.3800
528,Rajasthan,Rajsamand,25.0700,73.8800
529,Rajasthan,Rajsamand,25.0700,73.8800
530,Rajasthan,Dungarpur,23.8300,73.7200
531,Rajasthan,Udaipur,24.5800,73.6800
532,Rajasthan,Udaipur,24.5800,73.6800
533,Rajasthan,Dungarpur,23.8300,73.7200
534,Rajasthan,Jaipur,26.9210,75.7944
600,Kerala,Kollam,8.8800,76.6000
601,Kerala,Pathanamthitta,9.2656,76.7853
602,Kerala,Pathanamthitta,9.2656,76.7853
