STATION CODE,LOCATIONS,STATE
2708,"SURYA RIVER AT INTAKE OF VASAI-VIRAR W/S SCHEME, MASVAN, PALGHAR, THANE",MAHARASHTRA
2709,"TANSA RIVER NEAR ROAD BRIDGE, VILLAGE DAKEWALI, WADA, THANE",MAHARASHTRA
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",MAHARASHTRA
2162,ULHAS RIVER ATJAMBHUL WATER WORKS.,MAHARASHTRA
2712,"VAITARNaN RIVER NEAR ROAD BRIDGE, GANDHARE VILLAGE, WADA, THANE.",MAHARASHTRA
1189,"BHIMA AT PUNE U/S VITHALWADI, MAHARASHTRA",MAHARASHTRA
2655,"BHIMA RIVER AT KOREGAON NEAR KOREGAON BRIDGE, SHIRUR, PUNE",MAHARASHTRA
2656,"BHIMA RIVER-BACKWATER OF UJANI DAM NEAR RAW WATER PUMP HOUSE, KUMBARGAON, INDAPUR, PUNE",MAHARASHTRA
1190,"BHIMA AT PUNE, D/S OF BUNDGARDEN,MAHARASHTRA",MAHARASHTRA
1191,BHIMA AT PARGAON (AFTER CONFL.WITH MULE MARTHA) MAHARASHTRA.,MAHARASHTRA
1192,"BHIMA AFTER CONF. WITH DAUNT, MAHARASHTRA",MAHARASHTRA
1188,"BHIMA AT NaNRSINGHPUR,(D/S AF.CONFL.WITH R.NIRA),MAHARASHTRA",MAHARASHTRA
28,"BHIMA AT TAKLI, MAHARASHTRA",MAHARASHTRA
1183,"BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,KARNaNTAKA",KARNaNTAKA
1184,"BHIMA AT FEROZABAD VILLAGE (D/S), KARNaNTAKA",KARNaNTAKA
1167,"BHIMA AT D/S OF BDG. NEAR YADGIR,KARNaNTAKA",KARNaNTAKA
1888,BHIMA RIVER AT CONFLUENCE OF JEWARGI TOWN SEWAGE DISPOSAL POINT,KARNaNTAKA
1399,"ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANaNL JOINS, GOA",GOA
1475,ZUARI AT PANCHAWADI,GOA
3181,RIVER ZUARI AT BORIM BRIDGE,GOA
3182,RIVER ZUARI AT MARCAIM JETTY,GOA
1400,"MANDOVI AT NEGHBOURHOOD OF PANaNJI, GOA",GOA
1476,"MANDOVI AT TONCA, MARCELA, GOA",GOA
3185,RIVER MANDOVI AT AMONaN BRIDGE,GOA
3186,RIVER MANDOVI AT IFFI JETTY,GOA
3187,RIVER MANDOVI NEAR HOTEL MARRIOT,GOA
1543,"RIVER KALNaN AT CHANDEL- PERNEM, GOA",GOA
1548,"RIVER ASSONORA AT ASSONORA, GOA",GOA
2276,"RIVER BICHOLIM VARAZAN NaNGAR , BICHOLIM",GOA
2275,"RIVER CHAPORA NEAR ALORNaN FORT ,PERNEM",GOA
3189,RIVER CHAPORA AT SIOLIM,GOA
1546,"RIVER KHANDEPAR AT OPA - PONDA, GOA",GOA
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONaN,RIVON,SANGUEM",GOA
1545,"RIVER MADAI AT DABOS -��VALPOI, GOA",GOA
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANaNJI,GOA
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAO- CANaNCONaN NaNTIONaNL HIGHWAY)",GOA
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA
3183,"RIVER SAL AT KHAREBAND, MARGAO",GOA
3184,"RIVER SAL AT ORLIM BRIDGE, ORLIM",GOA
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA
1547,"RIVER TALPONaN AT CANaNCONaN, GOA",GOA
3188,RIVER TIRACOL AT TIRACOL,GOA
1544,"RIVER VALVANT AT SANKLI - BICHOLIM, GOA",GOA
2673,"MANJRA RIVER AT D/S OF LATUR, NEAR LATUR- NaNDED BRIDGE AT BHATKHEDA, LATUR.",MAHARASHTRA
2374,RIVER MANJEERA AT GOWDICHARLA B/C WITH NaNKKAVAGU,ANDHRA PRADESH
2375,RIVER MANJEERA AT GOWDICHARLA A/C WITH NaNKKAVAGU,ANDHRA PRADESH
1781,"MANJEERA RIVER - NEAR GANaNPATHI SUGARS , MEDAK DIST., A.P",ANDHRA PRADESH
1157,"MANJERA AT RAIPALLU, A.P.",ANDHRA PRADESH
1891,MANJRA AT D/S IN INTAKE POINT TO BIDAR CITY,KARNaNTAKA
2719,"WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA
2720,"WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA
2721,"WARDHA RIVER AT U/S OF ACC GHUGGUS, CHANDRAPUR.",MAHARASHTRA
2174,WARDHA RIVER D/S OF ACC GHUGGUS.,MAHARASHTRA
2156,WARDHA RIVER AT CONFLUENCE POINT OF PENGANGA & WARDHA AT JUAD.,MAHARASHTRA
1212,"WARDHA AT RAJURA BRIDGE, MAHARASHTRA",MAHARASHTRA
1213,"WAINGANGA AT BALAGHAT, M.P.",MADHYA PRADESH
1214,"WAINGANGA AT CHINDWARA, M.P.",MADHYA PRADESH
3330,"WAINGANGA AT CHHAPARA, NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH
1910,WAINGANGA AFTER CONLUENCE WITH KANHAN,MAHARASHTRA
2173,WAINGANGA RIVER U/S OF ELLORA PAPER MILL.,MAHARASHTRA
2172,WAINGANGA RIVER D/S OF ELLORA PAPER MILL.,MAHARASHTRA
2175,"WAINGANGA U/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",MAHARASHTRA
2176,"WAINGANGA D/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",MAHARASHTRA
11,"WAINGANGA AT ASHTI, MAHARASHTRA",MAHARASHTRA
1908,KOLAR BEFORE CONFLUENCE TO KANHAN AT KAMPTEE,MAHARASHTRA
3312,"KANHAN AT CHINDWARA BEFORE MIXING BOREGAON GROWTH CENTRE NaNLLA, JABALPUR",MADHYA PRADESH
1909,KANHAN D/S OF NaNGPUR,MAHARASHTRA
2170,"KANHAN RIVER U/S OF M/S VIDHARBHA PAPER MILL, SINORA.",MAHARASHTRA
2171,"KANHAN RIVER D/S OF M/S VIDHARBHA PAPER MILL, SINORA.",MAHARASHTRA
1913,PURNaN AT DHUPESHWAR,MAHARASHTRA
2700,"PURNaN RIVER NEAR ACHALPUR-AMRAVATI ROAD BRIDGE, ASEGAON, CHANDUR BAZAR, AMRAVATI",MAHARASHTRA
1315,"NIRA AT PULGAON COTTON MILL, WARDHA, MAHARASHTRA",MAHARASHTRA
2372,"KINNERASANI A/C OF KTPS ASH POND EFFLUENTS, KHAMMAM",ANDHRA PRADESH
2657,"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED",MAHARASHTRA
2660,"DARNaN RIVER AT CHEHEDI PUMPING STATION, NaNSHIK.",MAHARASHTRA
2661,"DARNaN RIVER AT ASWALI ( DARNaN DAM), IGATPURI, NaNSHIK",MAHARASHTRA
2662,"DARNaN RIVER AT MES SITE PUMPING STATION, BHAGUR, NaNSHIK.",MAHARASHTRA
2663,"DARNaN RIVER AT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NaNSHIK.",MAHARASHTRA
2664,"DARNaN RIVER AT SANSARI, NaNSHIK.",MAHARASHTRA
2697,"PENGANGA RIVER NEAR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",MAHARASHTRA
2698,"PENGANGA RIVER D/S OF ISAPUR DAM, ISAPUR, PUSAD, YAVATMAL",MAHARASHTRA
2699,"PENGANGA RIVER AT MEHKAR-BULDANaN ROAD BRIDGE, MEHKAR, BULDANaN",MAHARASHTRA
2722,"WENaN RIVER��AT U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE, HINGANGHAT",MAHARASHTRA
2723,"WENaN RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER ROAD",MAHARASHTRA
1185,"GHATPRABHA AT D/S OF MUDHOL RD. CROSS BDG., KARNaNTAKA",KARNaNTAKA
1163,"GHATPRABHA AT W.A. POINT TO GOKAK TOWN,KARNaNTAKA",KARNaNTAKA
1187,"MALPRABHA AT D/S OF KHANaNPUR VILLAGE,KARNaNTAKA",KARNaNTAKA
1164,"MALPRABHA AT WATER ABSTR. PT. TO HUBLI,DHARWAR,KARNaNTAKA",KARNaNTAKA
1186,"MALPRABHA AT D/S OF AIHOLE TOWN, KARNaNTAKA",KARNaNTAKA
2764,"MALPRABHA AT BADAMI BRIDGE, KARNaNTAKA",KARNaNTAKA
38,"TUNGHABHADRA AT HONNaNLI BRIDGE, KARNaNTAKA",KARNaNTAKA
1029,"TUNGHABHADRA AT HARALAHALLI BRIDGE, KARNaNTAKA",KARNaNTAKA
29,"TUNGHABHADRA AT ULLANUR, KARNaNTAKA",KARNaNTAKA
2768,"TUNGABHADRA AT D/S OF HPF, KARNaNTAKA",KARNaNTAKA
2769,"TUNGABHADRA AT JACKWELL POINT, KARNaNTAKA",KARNaNTAKA
2770,"TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE, KARNaNTAKA",KARNaNTAKA
2776,"TUNGABHADRA AT D/S OF GANGAWATHI, KARNaNTAKA",KARNaNTAKA
2766,"TUNGABHADRA AT NEW BRIDGE, KARNaNTAKA",KARNaNTAKA
2767,"TUNGABHADRA AT U/S OF HPF, KARNaNTAKA",KARNaNTAKA
1174,"TUNGHABHADRA AT KURNOOL U/S, BAVAPURAM, A.P.",ANDHRA PRADESH
1785,"TUNGHABHADRA AT MANTHRALAYAM , KURNOOL DIST., A.P",ANDHRA PRADESH
1168,"TUNGHA AT D/S OF SHIMOGA TOWN, KARNaNTAKA",KARNaNTAKA
1896,CONFLUENCE POINT OF TUNGA AND BHADRA AT KUDLI,KARNaNTAKA
1091,BHADRA AT MALLESWARAM D/S OF KIOCL KARNaNTAKA,KARNaNTAKA
1387,"BHADRA AT D/S OF BHADRAVATHI, KARNaNTAKA",KARNaNTAKA
1169,"BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR HOLEHUNNUR,KARNaNTAKA",KARNaNTAKA
2765,"BHADRA AT U/S OF MPM, KARNaNTAKA",KARNaNTAKA
2771,"BHADRA AT U/S OF KIOCL, KARNaNTAKA",KARNaNTAKA
3082,"RIVER MUSI RESERVOIR AT KASANIGUDA,��NaNLGONDA, A.P.",ANDHRA PRADESH
1178,"PALLERU BEFORE CONFL. WITH KRISHNaN, JAGGAYYAPET, A.P.",ANDHRA PRADESH
1177,"MUNERU BEFORE CONFL. WITH KRISHNaN, NaNDIGAMA, A.P.",ANDHRA PRADESH
1895,KAGINaN D/S OF SEWAGE DISPOSAL POINT,KARNaNTAKA
2777,"KAGINaN AT SHAHABAD BRIDGE, KARNaNTAKA",KARNaNTAKA
2349,"RIVER NaNKKAVAGU, BACHUGUDEM,MEDAK",ANDHRA PRADESH
2351,"RIVER KUNDU, NaNDYAL, NEAR OVER BDG., KURNOOL",ANDHRA PRADESH
2763,"ASANGI NaNLLA AT ASANGI VILLAGE, KARNaNTAKA",KARNaNTAKA
1549,"SALAULIM LAKE AT SALAULIM - SANGUEM, GOA",GOA
2269,"MAYEM LAKE, BICHOLIM",GOA
3175,ANJUNEM LAKE,GOA
3176,RUMDER LAKE,GOA
3177,CARAMBOLIM LAKE,GOA
3178,RAIA LAKE,GOA
3179,SAIPEM LAKE,GOA
3180,CURTORIM LAKE,GOA
1343,AHMEDABAD,GUJARAT
1344,AHMEDABAD,GUJARAT
1345,"AJWAH LAKE AT SARI SAYAJI SABVAR, BARODA",GUJARAT
1346,"SURSAGAR LAKE AT BARODA, GUJARAT",GUJARAT
1975,LAKHOTA TALAV,GUJARAT
1976,NaNRSINHMEHTA TALAV,GUJARAT
1979,"OLPAD, VILLAGE POND OLPAD, SURAT",GUJARAT
1971,THOL TANK (KALOL) (DIST MEHSANaN),GUJARAT
1373,"UPPER LAKE AT BHOPAL (INTAKE POINT), M.P.",MADHYA PRADESH
1374,LOWER LAKE AT BHOPAL OUTLET M.P.,MADHYA PRADESH
1466,MULTAI TANK LAKE AT VILLA. KHARI ON BETUL-AMRAVATI ROAD M.P.,MADHYA PRADESH
2128,KHANDARI RESERVOIR WATER OFF TAKE POINT,MADHYA PRADESH
2129,PERIAT TANK JABALPUR,MADHYA PRADESH
2135,GOVINDGARH TANK,MADHYA PRADESH
2136,"SHAHPURA LAKE AT WEIR NEAR AYUSHMAN HOSPITAL, BHOPAL",MADHYA PRADESH
2137,UPPER LAKE AT YATCH CLUB,MADHYA PRADESH
2138,UPPER LAKE AT KARBALA CLUB,MADHYA PRADESH
2139,UPPER LAKE AT BAIRAGARH CLUB,MADHYA PRADESH
2140,"KERWA DAM NEAR REST HOUSE, BPL",MADHYA PRADESH
2141,JANUNIA TALAB NEAR W/S,MADHYA PRADESH
3299,HANUMANTAL JABALPUR,MADHYA PRADESH
3300,"RANITAL TALAB, JABALPUR",MADHYA PRADESH
3301,MOTI TALAB AT BALAGHAT,MADHYA PRADESH
1285,"PICHOLA LAKE AT UDAIPUR (WATER INTAKE POINT), RAJASTHAN",RAJASTHAN
1286,UDAISAGAR LAKE AT UDAIPUR (INTAKE PT.) RAJASTHAN,RAJASTHAN
1414,"PUSHKAR LAKE, RAJASTHAN",RAJASTHAN
1481,"FATEH SAGAR LAKE AT UDAIPUR INTAKE POINT OF PHED,RAJASTHAN",RAJASTHAN
1714,"KAYALANaN JHEEL JODHPUR, RAJASTHAN",RAJASTHAN
1716,"NaNKKI LAKE, MT. ABU, RAJASTHAN",RAJASTHAN
2935,"LAKE JET SAGAR, BUNDI, RAJASTHAN",RAJASTHAN
2936,"JAISAMAND LAKE, ALWAR, RAJASTHAN",RAJASTHAN
2937,"LAKE SILISERH, ALWAR, RAJASTHAN",RAJASTHAN
2938,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 1, RAJSAMAND, RAJASTHAN",RAJASTHAN
2939,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 2, RAJSAMAND, RAJASTHAN",RAJASTHAN
2940,"GAPE- SAGAR LAKE, DUNGARPUR, RAJASTHAN",RAJASTHAN
2941,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 1, RAJASTHAN",RAJASTHAN
2942,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 2, RAJASTHAN",RAJASTHAN
2943,"LODHA TALAB, BANSWARA- DUNGARPUR ROAD, BANSWARA, RAJASTHAN",RAJASTHAN
2944,"JALMAHAL, JAIPUR, RAJASTHAN",RAJASTHAN
