STATION CODE,Potability
1312.0,0
2177.0,0
2182.0,0
2179.0,0
2183.0,0
2181.0,0
2180.0,0
1096.0,0
1211.0,0
1095.0,1
2160.0,0
2158.0,0
2159.0,0
2161.0,0
12.0,0
1209.0,0
2157.0,0
2360.0,1
2361.0,0
2362.0,0
2363.0,0
2364.0,0
2356.0,0
2365.0,0
2366.0,0
13.0,0
2367.0,1
2368.0,0
2369.0,1
2370.0,1
1218.0,1
2371.0,1
1062.0,1
2488.0,1
2489.0,1
1145.0,0
2490.0,1
1063.0,1
1066.0,0
1146.0,0
1067.0,0
1068.0,0
1147.0,0
2498.0,0
1046.0,0
2487.0,0
1049.0,0
2485.0,1
2486.0,0
1070.0,1
1071.0,0
1073.0,0
2502.0,1
1074.0,1
2551.0,0
1077.0,1
2556.0,1
2564.0,1
2552.0,0
1079.0,0
2555.0,1
2553.0,1
1817.0,1
1815.0,0
1818.0,1
2554.0,1
1819.0,0
1816.0,0
3113.0,1
3114.0,1
3115.0,1
3116.0,1
3117.0,1
3118.0,1
3122.0,0
3123.0,1
1080.0,0
2511.0,0
2506.0,0
1054.0,0
1472.0,0
1053.0,0
1471.0,0
1470.0,0
1052.0,0
1469.0,0
1260.0,0
1030.0,0
1262.0,0
1526.0,0
1031.0,0
1299.0,0
2069.0,0
2064.0,0
2067.0,0
2066.0,0
1194.0,0
36.0,0
1906.0,1
1310.0,1
2187.0,0
2188.0,0
2190.0,0
1182.0,1
1889.0,1
1181.0,1
1170.0,1
1028.0,1
2781.0,1
1175.0,1
1465.0,1
1786.0,1
1787.0,1
25.0,1
3083.0,1
1782.0,1
1553.0,1
1554.0,1
2495.0,0
2494.0,0
2493.0,0
1069.0,0
1893.0,1
1199.0,1
1166.0,1
1165.0,0
2778.0,0
1196.0,0
2772.0,1
1207.0,1
1197.0,1
41.0,1
1445.0,1
2775.0,1
1208.0,1
1201.0,0
1204.0,0
1321.0,0
1205.0,0
3019.0,0
3020.0,0
3021.0,0
1510.0,1
2620.0,1
2626.0,1
2627.0,1
2621.0,1
2622.0,1
2623.0,1
2617.0,1
2618.0,1
2619.0,1
1358.0,0
1357.0,0
1143.0,1
1735.0,0
1356.0,0
2955.0,1
1288.0,1
1289.0,1
1413.0,1
2954.0,1
1367.0,0
2953.0,1
2956.0,1
2117.0,0
2950.0,1
2952.0,0
2946.0,1
1947.0,0
2229.0,1
2231.0,1
2232.0,1
2233.0,0
2234.0,0
2236.0,1
2238.0,1
2239.0,0
2240.0,1
2241.0,0
2242.0,0
2523.0,0
2524.0,0
2235.0,0
1064.0,0
1065.0,0
2482.0,0
2483.0,0
1361.0,0
2484.0,0
1350.0,1
1351.0,0
1352.0,0
1353.0,0
1072.0,0
2491.0,0
1363.0,1
1354.0,0
1355.0,1
2492.0,0
1076.0,1
1359.0,1
1360.0,1
1075.0,1
3121.0,1
3127.0,1
3128.0,1
1078.0,1
2568.0,1
2570.0,1
3124.0,1
3125.0,1
2575.0,0
1820.0,0
3134.0,0
2562.0,1
2558.0,0
3126.0,1
2567.0,1
2569.0,1
3133.0,1
2563.0,0
2565.0,1
2566.0,1
3137.0,1
1821.0,1
2560.0,0
2561.0,1
3129.0,0
1823.0,1
1824.0,1
2559.0,0
3130.0,1
1822.0,0
3132.0,1
3135.0,1
3119.0,1
3120.0,1
3136.0,0
1023.0,0
1024.0,0
1295.0,0
1473.0,0
1698.0,0
1699.0,0
1700.0,0
1701.0,0
1702.0,0
1703.0,0
1704.0,0
1705.0,0
1718.0,0
1871.0,1
2624.0,1
2625.0,1
1870.0,0
2947.0,1
1717.0,1
2948.0,1
2949.0,1
2651.0,0
1461.0,0
2653.0,0
2654.0,0
1092.0,0
2670.0,0
1152.0,0
2198.0,0
2671.0,0
2672.0,0
